Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_10L.dat
status= OPTIMAL
ID = 10
Numero de clientes = 20
OF (custo) = 230.38
Best Objective = 230.38
Best Bound = 230.37999999999965
GAP = 0.0%
x[1, 10, B] = 1.0
x[3, 1, B] = 1.0
x[4, 3, B] = 1.0
x[5, 19, B] = 1.0
x[8, B, B] = 1.0
x[10, 17, B] = 1.0
x[11, 8, B] = 1.0
x[17, 18, B] = 1.0
x[18, 11, B] = 1.0
x[19, 4, B] = 1.0
x[B, 5, B] = 1.0
z[1, B, B] = 1.0
z[3, B, B] = 1.0
z[4, B, B] = 1.0
z[5, B, B] = 1.0
z[8, B, B] = 1.0
z[10, B, B] = 1.0
z[11, B, B] = 1.0
z[17, B, B] = 1.0
z[18, B, B] = 1.0
z[19, B, B] = 1.0
l[1, 10, B, 8] = 18.0
l[1, 10, B, 10] = 31.0
l[1, 10, B, 11] = 25.0
l[1, 10, B, 17] = 51.0
l[1, 10, B, 18] = 47.0
l[3, 1, B, 1] = 3.0
l[3, 1, B, 8] = 18.0
l[3, 1, B, 10] = 31.0
l[3, 1, B, 11] = 25.0
l[3, 1, B, 17] = 51.0
l[3, 1, B, 18] = 47.0
l[4, 3, B, 1] = 3.0
l[4, 3, B, 3] = 93.0
l[4, 3, B, 8] = 18.0
l[4, 3, B, 10] = 31.0
l[4, 3, B, 11] = 25.0
l[4, 3, B, 17] = 51.0
l[4, 3, B, 18] = 47.0
l[5, 19, B, 1] = 3.0
l[5, 19, B, 3] = 93.0
l[5, 19, B, 4] = 28.0
l[5, 19, B, 8] = 18.0
l[5, 19, B, 10] = 31.0
l[5, 19, B, 11] = 25.0
l[5, 19, B, 17] = 51.0
l[5, 19, B, 18] = 47.0
l[5, 19, B, 19] = 88.0
l[10, 17, B, 8] = 18.0
l[10, 17, B, 11] = 25.0
l[10, 17, B, 17] = 51.0
l[10, 17, B, 18] = 47.0
l[11, 8, B, 8] = 18.0
l[17, 18, B, 8] = 18.0
l[17, 18, B, 11] = 25.0
l[17, 18, B, 18] = 47.0
l[18, 11, B, 8] = 18.0
l[18, 11, B, 11] = 25.0
l[19, 4, B, 1] = 3.0
l[19, 4, B, 3] = 93.0
l[19, 4, B, 4] = 28.0
l[19, 4, B, 8] = 18.0
l[19, 4, B, 10] = 31.0
l[19, 4, B, 11] = 25.0
l[19, 4, B, 17] = 51.0
l[19, 4, B, 18] = 47.0
l[B, 5, B, 1] = 3.0
l[B, 5, B, 3] = 93.0
l[B, 5, B, 4] = 28.0
l[B, 5, B, 5] = 2.0
l[B, 5, B, 8] = 18.0
l[B, 5, B, 10] = 31.0
l[B, 5, B, 11] = 25.0
l[B, 5, B, 17] = 51.0
l[B, 5, B, 18] = 47.0
l[B, 5, B, 19] = 88.0
m[1, 10, B, 1] = 29.0
m[1, 10, B, 3] = 12.0
m[1, 10, B, 4] = 3.0
m[1, 10, B, 5] = 4.0
m[1, 10, B, 19] = 95.0
m[3, 1, B, 3] = 12.0
m[3, 1, B, 4] = 3.0
m[3, 1, B, 5] = 4.0
m[3, 1, B, 19] = 95.0
m[4, 3, B, 4] = 3.0
m[4, 3, B, 5] = 4.0
m[4, 3, B, 19] = 95.0
m[5, 19, B, 5] = 4.0
m[8, B, B, 1] = 29.0
m[8, B, B, 3] = 12.0
m[8, B, B, 4] = 3.0
m[8, B, B, 5] = 4.0
m[8, B, B, 8] = 60.0
m[8, B, B, 10] = 14.0
m[8, B, B, 11] = 91.0
m[8, B, B, 17] = 9.0
m[8, B, B, 18] = 69.0
m[8, B, B, 19] = 95.0
m[10, 17, B, 1] = 29.0
m[10, 17, B, 3] = 12.0
m[10, 17, B, 4] = 3.0
m[10, 17, B, 5] = 4.0
m[10, 17, B, 10] = 14.0
m[10, 17, B, 19] = 95.0
m[11, 8, B, 1] = 29.0
m[11, 8, B, 3] = 12.0
m[11, 8, B, 4] = 3.0
m[11, 8, B, 5] = 4.0
m[11, 8, B, 10] = 14.0
m[11, 8, B, 11] = 91.0
m[11, 8, B, 17] = 9.0
m[11, 8, B, 18] = 69.0
m[11, 8, B, 19] = 95.0
m[17, 18, B, 1] = 29.0
m[17, 18, B, 3] = 12.0
m[17, 18, B, 4] = 3.0
m[17, 18, B, 5] = 4.0
m[17, 18, B, 10] = 14.0
m[17, 18, B, 17] = 9.0
m[17, 18, B, 19] = 95.0
m[18, 11, B, 1] = 29.0
m[18, 11, B, 3] = 12.0
m[18, 11, B, 4] = 3.0
m[18, 11, B, 5] = 4.0
m[18, 11, B, 10] = 14.0
m[18, 11, B, 17] = 9.0
m[18, 11, B, 18] = 69.0
m[18, 11, B, 19] = 95.0
m[19, 4, B, 5] = 4.0
m[19, 4, B, 19] = 95.0
Tempo de execução: 3.1677715 segundos
