Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_7L.dat
status= OPTIMAL
ID = 7
Numero de clientes = 20
OF (custo) = 65.8
Best Objective = 65.8
Best Bound = 65.79999999999981
GAP = 0.0%
x[1, A, A] = 1.0
x[7, 17, A] = 1.0
x[9, 13, A] = 1.0
x[11, 14, A] = 1.0
x[12, 7, A] = 1.0
x[13, 19, A] = 1.0
x[14, 1, A] = 1.0
x[17, 20, A] = 1.0
x[19, 11, A] = 1.0
x[20, 9, A] = 1.0
x[A, 12, A] = 1.0
z[1, A, A] = 1.0
z[7, A, A] = 1.0
z[9, A, A] = 1.0
z[11, A, A] = 1.0
z[12, A, A] = 1.0
z[13, A, A] = 1.0
z[14, A, A] = 1.0
z[17, A, A] = 1.0
z[19, A, A] = 1.0
z[20, A, A] = 1.0
l[7, 17, A, 1] = 5.0
l[7, 17, A, 9] = 8.0
l[7, 17, A, 11] = 6.0
l[7, 17, A, 13] = 12.0
l[7, 17, A, 14] = 10.0
l[7, 17, A, 17] = 2.0
l[7, 17, A, 19] = 9.0
l[7, 17, A, 20] = 17.0
l[9, 13, A, 1] = 5.0
l[9, 13, A, 11] = 6.0
l[9, 13, A, 13] = 12.0
l[9, 13, A, 14] = 10.0
l[9, 13, A, 19] = 9.0
l[11, 14, A, 1] = 5.0
l[11, 14, A, 14] = 10.0
l[12, 7, A, 1] = 5.0
l[12, 7, A, 7] = 5.0
l[12, 7, A, 9] = 8.0
l[12, 7, A, 11] = 6.0
l[12, 7, A, 13] = 12.0
l[12, 7, A, 14] = 10.0
l[12, 7, A, 17] = 2.0
l[12, 7, A, 19] = 9.0
l[12, 7, A, 20] = 17.0
l[13, 19, A, 1] = 5.0
l[13, 19, A, 11] = 6.0
l[13, 19, A, 14] = 10.0
l[13, 19, A, 19] = 9.0
l[14, 1, A, 1] = 5.0
l[17, 20, A, 1] = 5.0
l[17, 20, A, 9] = 8.0
l[17, 20, A, 11] = 6.0
l[17, 20, A, 13] = 12.0
l[17, 20, A, 14] = 10.0
l[17, 20, A, 19] = 9.0
l[17, 20, A, 20] = 17.0
l[19, 11, A, 1] = 5.0
l[19, 11, A, 11] = 6.0
l[19, 11, A, 14] = 10.0
l[20, 9, A, 1] = 5.0
l[20, 9, A, 9] = 8.0
l[20, 9, A, 11] = 6.0
l[20, 9, A, 13] = 12.0
l[20, 9, A, 14] = 10.0
l[20, 9, A, 19] = 9.0
l[A, 12, A, 1] = 5.0
l[A, 12, A, 7] = 5.0
l[A, 12, A, 9] = 8.0
l[A, 12, A, 11] = 6.0
l[A, 12, A, 12] = 19.0
l[A, 12, A, 13] = 12.0
l[A, 12, A, 14] = 10.0
l[A, 12, A, 17] = 2.0
l[A, 12, A, 19] = 9.0
l[A, 12, A, 20] = 17.0
m[1, A, A, 1] = 12.0
m[1, A, A, 7] = 6.0
m[1, A, A, 9] = 12.0
m[1, A, A, 11] = 17.0
m[1, A, A, 12] = 4.0
m[1, A, A, 13] = 7.0
m[1, A, A, 14] = 9.0
m[1, A, A, 17] = 10.0
m[1, A, A, 19] = 3.0
m[1, A, A, 20] = 13.0
m[7, 17, A, 7] = 6.0
m[7, 17, A, 12] = 4.0
m[9, 13, A, 7] = 6.0
m[9, 13, A, 9] = 12.0
m[9, 13, A, 12] = 4.0
m[9, 13, A, 17] = 10.0
m[9, 13, A, 20] = 13.0
m[11, 14, A, 7] = 6.0
m[11, 14, A, 9] = 12.0
m[11, 14, A, 11] = 17.0
m[11, 14, A, 12] = 4.0
m[11, 14, A, 13] = 7.0
m[11, 14, A, 17] = 10.0
m[11, 14, A, 19] = 3.0
m[11, 14, A, 20] = 13.0
m[12, 7, A, 12] = 4.0
m[13, 19, A, 7] = 6.0
m[13, 19, A, 9] = 12.0
m[13, 19, A, 12] = 4.0
m[13, 19, A, 13] = 7.0
m[13, 19, A, 17] = 10.0
m[13, 19, A, 20] = 13.0
m[14, 1, A, 7] = 6.0
m[14, 1, A, 9] = 12.0
m[14, 1, A, 11] = 17.0
m[14, 1, A, 12] = 4.0
m[14, 1, A, 13] = 7.0
m[14, 1, A, 14] = 9.0
m[14, 1, A, 17] = 10.0
m[14, 1, A, 19] = 3.0
m[14, 1, A, 20] = 13.0
m[17, 20, A, 7] = 6.0
m[17, 20, A, 12] = 4.0
m[17, 20, A, 17] = 10.0
m[19, 11, A, 7] = 6.0
m[19, 11, A, 9] = 12.0
m[19, 11, A, 12] = 4.0
m[19, 11, A, 13] = 7.0
m[19, 11, A, 17] = 10.0
m[19, 11, A, 19] = 3.0
m[19, 11, A, 20] = 13.0
m[20, 9, A, 7] = 6.0
m[20, 9, A, 12] = 4.0
m[20, 9, A, 17] = 10.0
m[20, 9, A, 20] = 13.0
Tempo de execução: 1.0090869 segundos
