Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8013.dat
status= OPTIMAL
ID = 8013
Numero de clientes = 20
OF (custo) = 334.44
Best Objective = 334.44
Best Bound = 334.44
GAP = 0.0%
x[1, 20, A] = 1.0
x[3, 12, A] = 1.0
x[4, 1, A] = 1.0
x[8, 17, A] = 1.0
x[9, 4, A] = 1.0
x[11, 18, A] = 1.0
x[12, 8, A] = 1.0
x[13, A, A] = 1.0
x[17, 19, A] = 1.0
x[18, 9, A] = 1.0
x[19, 11, A] = 1.0
x[20, 13, A] = 1.0
x[A, 3, A] = 1.0
z[1, A, A] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[8, A, A] = 1.0
z[9, A, A] = 1.0
z[11, A, A] = 1.0
z[12, A, A] = 1.0
z[13, A, A] = 1.0
z[17, A, A] = 1.0
z[18, A, A] = 1.0
z[19, A, A] = 1.0
z[20, A, A] = 1.0
l[1, 20, A, 13] = 13.0
l[1, 20, A, 20] = 14.0
l[3, 12, A, 1] = 23.0
l[3, 12, A, 4] = 20.0
l[3, 12, A, 8] = 16.0
l[3, 12, A, 9] = 21.0
l[3, 12, A, 11] = 15.0
l[3, 12, A, 12] = 15.0
l[3, 12, A, 13] = 13.0
l[3, 12, A, 17] = 13.0
l[3, 12, A, 18] = 14.0
l[3, 12, A, 19] = 13.0
l[3, 12, A, 20] = 14.0
l[4, 1, A, 1] = 23.0
l[4, 1, A, 13] = 13.0
l[4, 1, A, 20] = 14.0
l[8, 17, A, 1] = 23.0
l[8, 17, A, 4] = 20.0
l[8, 17, A, 9] = 21.0
l[8, 17, A, 11] = 15.0
l[8, 17, A, 13] = 13.0
l[8, 17, A, 17] = 13.0
l[8, 17, A, 18] = 14.0
l[8, 17, A, 19] = 13.0
l[8, 17, A, 20] = 14.0
l[9, 4, A, 1] = 23.0
l[9, 4, A, 4] = 20.0
l[9, 4, A, 13] = 13.0
l[9, 4, A, 20] = 14.0
l[11, 18, A, 1] = 23.0
l[11, 18, A, 4] = 20.0
l[11, 18, A, 9] = 21.0
l[11, 18, A, 13] = 13.0
l[11, 18, A, 18] = 14.0
l[11, 18, A, 20] = 14.0
l[12, 8, A, 1] = 23.0
l[12, 8, A, 4] = 20.0
l[12, 8, A, 8] = 16.0
l[12, 8, A, 9] = 21.0
l[12, 8, A, 11] = 15.0
l[12, 8, A, 13] = 13.0
l[12, 8, A, 17] = 13.0
l[12, 8, A, 18] = 14.0
l[12, 8, A, 19] = 13.0
l[12, 8, A, 20] = 14.0
l[17, 19, A, 1] = 23.0
l[17, 19, A, 4] = 20.0
l[17, 19, A, 9] = 21.0
l[17, 19, A, 11] = 15.0
l[17, 19, A, 13] = 13.0
l[17, 19, A, 18] = 14.0
l[17, 19, A, 19] = 13.0
l[17, 19, A, 20] = 14.0
l[18, 9, A, 1] = 23.0
l[18, 9, A, 4] = 20.0
l[18, 9, A, 9] = 21.0
l[18, 9, A, 13] = 13.0
l[18, 9, A, 20] = 14.0
l[19, 11, A, 1] = 23.0
l[19, 11, A, 4] = 20.0
l[19, 11, A, 9] = 21.0
l[19, 11, A, 11] = 15.0
l[19, 11, A, 13] = 13.0
l[19, 11, A, 18] = 14.0
l[19, 11, A, 20] = 14.0
l[20, 13, A, 13] = 13.0
l[A, 3, A, 1] = 23.0
l[A, 3, A, 3] = 11.0
l[A, 3, A, 4] = 20.0
l[A, 3, A, 8] = 16.0
l[A, 3, A, 9] = 21.0
l[A, 3, A, 11] = 15.0
l[A, 3, A, 12] = 15.0
l[A, 3, A, 13] = 13.0
l[A, 3, A, 17] = 13.0
l[A, 3, A, 18] = 14.0
l[A, 3, A, 19] = 13.0
l[A, 3, A, 20] = 14.0
m[1, 20, A, 1] = 17.0
m[1, 20, A, 3] = 11.0
m[1, 20, A, 4] = 13.0
m[1, 20, A, 8] = 17.0
m[1, 20, A, 9] = 19.0
m[1, 20, A, 11] = 16.0
m[1, 20, A, 12] = 13.0
m[1, 20, A, 17] = 16.0
m[1, 20, A, 18] = 15.0
m[1, 20, A, 19] = 18.0
m[3, 12, A, 3] = 11.0
m[4, 1, A, 3] = 11.0
m[4, 1, A, 4] = 13.0
m[4, 1, A, 8] = 17.0
m[4, 1, A, 9] = 19.0
m[4, 1, A, 11] = 16.0
m[4, 1, A, 12] = 13.0
m[4, 1, A, 17] = 16.0
m[4, 1, A, 18] = 15.0
m[4, 1, A, 19] = 18.0
m[8, 17, A, 3] = 11.0
m[8, 17, A, 8] = 17.0
m[8, 17, A, 12] = 13.0
m[9, 4, A, 3] = 11.0
m[9, 4, A, 8] = 17.0
m[9, 4, A, 9] = 19.0
m[9, 4, A, 11] = 16.0
m[9, 4, A, 12] = 13.0
m[9, 4, A, 17] = 16.0
m[9, 4, A, 18] = 15.0
m[9, 4, A, 19] = 18.0
m[11, 18, A, 3] = 11.0
m[11, 18, A, 8] = 17.0
m[11, 18, A, 11] = 16.0
m[11, 18, A, 12] = 13.0
m[11, 18, A, 17] = 16.0
m[11, 18, A, 19] = 18.0
m[12, 8, A, 3] = 11.0
m[12, 8, A, 12] = 13.0
m[13, A, A, 1] = 17.0
m[13, A, A, 3] = 11.0
m[13, A, A, 4] = 13.0
m[13, A, A, 8] = 17.0
m[13, A, A, 9] = 19.0
m[13, A, A, 11] = 16.0
m[13, A, A, 12] = 13.0
m[13, A, A, 13] = 14.0
m[13, A, A, 17] = 16.0
m[13, A, A, 18] = 15.0
m[13, A, A, 19] = 18.0
m[13, A, A, 20] = 19.0
m[17, 19, A, 3] = 11.0
m[17, 19, A, 8] = 17.0
m[17, 19, A, 12] = 13.0
m[17, 19, A, 17] = 16.0
m[18, 9, A, 3] = 11.0
m[18, 9, A, 8] = 17.0
m[18, 9, A, 11] = 16.0
m[18, 9, A, 12] = 13.0
m[18, 9, A, 17] = 16.0
m[18, 9, A, 18] = 15.0
m[18, 9, A, 19] = 18.0
m[19, 11, A, 3] = 11.0
m[19, 11, A, 8] = 17.0
m[19, 11, A, 12] = 13.0
m[19, 11, A, 17] = 16.0
m[19, 11, A, 19] = 18.0
m[20, 13, A, 1] = 17.0
m[20, 13, A, 3] = 11.0
m[20, 13, A, 4] = 13.0
m[20, 13, A, 8] = 17.0
m[20, 13, A, 9] = 19.0
m[20, 13, A, 11] = 16.0
m[20, 13, A, 12] = 13.0
m[20, 13, A, 17] = 16.0
m[20, 13, A, 18] = 15.0
m[20, 13, A, 19] = 18.0
m[20, 13, A, 20] = 19.0
Tempo de execução: 1.3161931 segundos
