Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8014.dat
status= OPTIMAL
ID = 8014
Numero de clientes = 20
OF (custo) = 652.36
Best Objective = 652.36
Best Bound = 652.36
GAP = 0.0%
x[1, 18, B] = 1.0
x[2, A, A] = 1.0
x[3, 12, A] = 1.0
x[4, 2, A] = 1.0
x[5, 14, B] = 1.0
x[6, 11, B] = 1.0
x[7, 9, B] = 1.0
x[7, B, B] = 1.0
x[8, 13, B] = 1.0
x[9, 6, B] = 1.0
x[10, 3, A] = 1.0
x[11, 19, B] = 1.0
x[12, 15, A] = 1.0
x[13, 7, B] = 1.0
x[14, 16, B] = 1.0
x[15, 4, A] = 1.0
x[16, 1, B] = 1.0
x[17, 20, B] = 1.0
x[18, 8, B] = 1.0
x[19, 17, B] = 1.0
x[20, 5, B] = 1.0
x[A, 10, A] = 1.0
x[B, 7, B] = 1.0
l[1, 18, B, 8] = 12.0
l[1, 18, B, 13] = 21.0
l[1, 18, B, 18] = 11.0
l[3, 12, A, 2] = 21.0
l[3, 12, A, 4] = 16.0
l[3, 12, A, 12] = 21.0
l[4, 2, A, 2] = 21.0
l[5, 14, B, 1] = 15.0
l[5, 14, B, 8] = 12.0
l[5, 14, B, 13] = 21.0
l[5, 14, B, 14] = 3.0
l[5, 14, B, 16] = 12.0
l[5, 14, B, 18] = 11.0
l[6, 11, B, 1] = 15.0
l[6, 11, B, 5] = 21.0
l[6, 11, B, 8] = 12.0
l[6, 11, B, 11] = 21.0
l[6, 11, B, 13] = 21.0
l[6, 11, B, 14] = 3.0
l[6, 11, B, 16] = 12.0
l[6, 11, B, 17] = 16.0
l[6, 11, B, 18] = 11.0
l[6, 11, B, 19] = 18.0
l[6, 11, B, 20] = 20.0
l[7, 9, B, 1] = 15.0
l[7, 9, B, 5] = 21.0
l[7, 9, B, 6] = 11.0
l[7, 9, B, 8] = 12.0
l[7, 9, B, 11] = 21.0
l[7, 9, B, 13] = 21.0
l[7, 9, B, 14] = 3.0
l[7, 9, B, 16] = 12.0
l[7, 9, B, 17] = 16.0
l[7, 9, B, 18] = 11.0
l[7, 9, B, 19] = 18.0
l[7, 9, B, 20] = 20.0
l[8, 13, B, 13] = 21.0
l[9, 6, B, 1] = 15.0
l[9, 6, B, 5] = 21.0
l[9, 6, B, 6] = 11.0
l[9, 6, B, 8] = 12.0
l[9, 6, B, 11] = 21.0
l[9, 6, B, 13] = 21.0
l[9, 6, B, 14] = 3.0
l[9, 6, B, 16] = 12.0
l[9, 6, B, 17] = 16.0
l[9, 6, B, 18] = 11.0
l[9, 6, B, 19] = 18.0
l[9, 6, B, 20] = 20.0
l[10, 3, A, 2] = 21.0
l[10, 3, A, 3] = 18.0
l[10, 3, A, 4] = 16.0
l[10, 3, A, 12] = 21.0
l[11, 19, B, 1] = 15.0
l[11, 19, B, 5] = 21.0
l[11, 19, B, 8] = 12.0
l[11, 19, B, 13] = 21.0
l[11, 19, B, 14] = 3.0
l[11, 19, B, 16] = 12.0
l[11, 19, B, 17] = 16.0
l[11, 19, B, 18] = 11.0
l[11, 19, B, 19] = 18.0
l[11, 19, B, 20] = 20.0
l[12, 15, A, 2] = 21.0
l[12, 15, A, 4] = 16.0
l[14, 16, B, 1] = 15.0
l[14, 16, B, 8] = 12.0
l[14, 16, B, 13] = 21.0
l[14, 16, B, 16] = 12.0
l[14, 16, B, 18] = 11.0
l[15, 4, A, 2] = 21.0
l[15, 4, A, 4] = 16.0
l[16, 1, B, 1] = 15.0
l[16, 1, B, 8] = 12.0
l[16, 1, B, 13] = 21.0
l[16, 1, B, 18] = 11.0
l[17, 20, B, 1] = 15.0
l[17, 20, B, 5] = 21.0
l[17, 20, B, 8] = 12.0
l[17, 20, B, 13] = 21.0
l[17, 20, B, 14] = 3.0
l[17, 20, B, 16] = 12.0
l[17, 20, B, 18] = 11.0
l[17, 20, B, 20] = 20.0
l[18, 8, B, 8] = 12.0
l[18, 8, B, 13] = 21.0
l[19, 17, B, 1] = 15.0
l[19, 17, B, 5] = 21.0
l[19, 17, B, 8] = 12.0
l[19, 17, B, 13] = 21.0
l[19, 17, B, 14] = 3.0
l[19, 17, B, 16] = 12.0
l[19, 17, B, 17] = 16.0
l[19, 17, B, 18] = 11.0
l[19, 17, B, 20] = 20.0
l[20, 5, B, 1] = 15.0
l[20, 5, B, 5] = 21.0
l[20, 5, B, 8] = 12.0
l[20, 5, B, 13] = 21.0
l[20, 5, B, 14] = 3.0
l[20, 5, B, 16] = 12.0
l[20, 5, B, 18] = 11.0
l[A, 10, A, 2] = 21.0
l[A, 10, A, 3] = 18.0
l[A, 10, A, 4] = 16.0
l[A, 10, A, 10] = 15.0
l[A, 10, A, 12] = 21.0
l[B, 7, B, 1] = 15.0
l[B, 7, B, 5] = 21.0
l[B, 7, B, 6] = 11.0
l[B, 7, B, 7] = 12.0
l[B, 7, B, 8] = 12.0
l[B, 7, B, 11] = 21.0
l[B, 7, B, 13] = 21.0
l[B, 7, B, 14] = 3.0
l[B, 7, B, 16] = 12.0
l[B, 7, B, 17] = 16.0
l[B, 7, B, 18] = 11.0
l[B, 7, B, 19] = 18.0
l[B, 7, B, 20] = 20.0
m[1, 18, B, 1] = 15.0
m[1, 18, B, 5] = 16.0
m[1, 18, B, 6] = 15.0
m[1, 18, B, 11] = 17.0
m[1, 18, B, 17] = 10.0
m[1, 18, B, 19] = 9.0
m[1, 18, B, 20] = 14.0
m[2, A, A, 2] = 12.0
m[2, A, A, 3] = 20.0
m[2, A, A, 10] = 18.0
m[2, A, A, 12] = 12.0
m[3, 12, A, 3] = 20.0
m[3, 12, A, 10] = 18.0
m[4, 2, A, 3] = 20.0
m[4, 2, A, 10] = 18.0
m[4, 2, A, 12] = 12.0
m[5, 14, B, 5] = 16.0
m[5, 14, B, 6] = 15.0
m[5, 14, B, 11] = 17.0
m[5, 14, B, 17] = 10.0
m[5, 14, B, 19] = 9.0
m[5, 14, B, 20] = 14.0
m[6, 11, B, 6] = 15.0
m[7, B, B, 1] = 15.0
m[7, B, B, 5] = 16.0
m[7, B, B, 6] = 15.0
m[7, B, B, 8] = 19.0
m[7, B, B, 11] = 17.0
m[7, B, B, 13] = 12.0
m[7, B, B, 17] = 10.0
m[7, B, B, 18] = 24.0
m[7, B, B, 19] = 9.0
m[7, B, B, 20] = 14.0
m[8, 13, B, 1] = 15.0
m[8, 13, B, 5] = 16.0
m[8, 13, B, 6] = 15.0
m[8, 13, B, 8] = 19.0
m[8, 13, B, 11] = 17.0
m[8, 13, B, 17] = 10.0
m[8, 13, B, 18] = 24.0
m[8, 13, B, 19] = 9.0
m[8, 13, B, 20] = 14.0
m[10, 3, A, 10] = 18.0
m[11, 19, B, 6] = 15.0
m[11, 19, B, 11] = 17.0
m[12, 15, A, 3] = 20.0
m[12, 15, A, 10] = 18.0
m[12, 15, A, 12] = 12.0
m[13, 7, B, 1] = 15.0
m[13, 7, B, 5] = 16.0
m[13, 7, B, 6] = 15.0
m[13, 7, B, 8] = 19.0
m[13, 7, B, 11] = 17.0
m[13, 7, B, 13] = 12.0
m[13, 7, B, 17] = 10.0
m[13, 7, B, 18] = 24.0
m[13, 7, B, 19] = 9.0
m[13, 7, B, 20] = 14.0
m[14, 16, B, 5] = 16.0
m[14, 16, B, 6] = 15.0
m[14, 16, B, 11] = 17.0
m[14, 16, B, 17] = 10.0
m[14, 16, B, 19] = 9.0
m[14, 16, B, 20] = 14.0
m[15, 4, A, 3] = 20.0
m[15, 4, A, 10] = 18.0
m[15, 4, A, 12] = 12.0
m[16, 1, B, 5] = 16.0
m[16, 1, B, 6] = 15.0
m[16, 1, B, 11] = 17.0
m[16, 1, B, 17] = 10.0
m[16, 1, B, 19] = 9.0
m[16, 1, B, 20] = 14.0
m[17, 20, B, 6] = 15.0
m[17, 20, B, 11] = 17.0
m[17, 20, B, 17] = 10.0
m[17, 20, B, 19] = 9.0
m[18, 8, B, 1] = 15.0
m[18, 8, B, 5] = 16.0
m[18, 8, B, 6] = 15.0
m[18, 8, B, 11] = 17.0
m[18, 8, B, 17] = 10.0
m[18, 8, B, 18] = 24.0
m[18, 8, B, 19] = 9.0
m[18, 8, B, 20] = 14.0
m[19, 17, B, 6] = 15.0
m[19, 17, B, 11] = 17.0
m[19, 17, B, 19] = 9.0
m[20, 5, B, 6] = 15.0
m[20, 5, B, 11] = 17.0
m[20, 5, B, 17] = 10.0
m[20, 5, B, 19] = 9.0
m[20, 5, B, 20] = 14.0
n[1, 18, B, 7] = 12.0
n[3, 12, A, 4] = 7.0
n[3, 12, A, 15] = 16.0
n[5, 14, B, 7] = 12.0
n[5, 14, B, 14] = 8.0
n[5, 14, B, 16] = 7.0
n[6, 11, B, 7] = 12.0
n[6, 11, B, 16] = 7.0
n[7, 9, B, 9] = 12.0
n[7, 9, B, 16] = 7.0
n[8, 13, B, 7] = 12.0
n[8, 13, B, 9] = 12.0
n[9, 6, B, 16] = 7.0
n[10, 3, A, 15] = 16.0
n[11, 19, B, 7] = 12.0
n[11, 19, B, 16] = 7.0
n[12, 15, A, 4] = 7.0
n[12, 15, A, 15] = 16.0
n[13, 7, B, 7] = 12.0
n[13, 7, B, 9] = 12.0
n[13, 7, B, 16] = 7.0
n[14, 16, B, 7] = 12.0
n[14, 16, B, 16] = 7.0
n[15, 4, A, 4] = 7.0
n[16, 1, B, 7] = 12.0
n[17, 20, B, 7] = 12.0
n[17, 20, B, 16] = 7.0
n[18, 8, B, 7] = 12.0
n[18, 8, B, 9] = 12.0
n[19, 17, B, 7] = 12.0
n[19, 17, B, 16] = 7.0
n[20, 5, B, 7] = 12.0
n[20, 5, B, 14] = 8.0
n[20, 5, B, 16] = 7.0
Tempo de execução: 5.2878911 segundos
