Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8015.dat
status= OPTIMAL
ID = 8015
Numero de clientes = 20
OF (custo) = 564.62
Best Objective = 564.62
Best Bound = 564.6199999999997
GAP = 0.0%
x[1, 9, B] = 1.0
x[2, 10, B] = 1.0
x[3, 20, A] = 1.0
x[4, 2, B] = 1.0
x[5, 1, B] = 1.0
x[6, 14, A] = 1.0
x[7, A, A] = 1.0
x[8, 4, B] = 1.0
x[9, B, B] = 1.0
x[10, 5, B] = 1.0
x[11, 17, A] = 1.0
x[12, 11, A] = 1.0
x[13, 7, A] = 1.0
x[14, 3, A] = 1.0
x[15, 8, B] = 1.0
x[16, 6, A] = 1.0
x[17, 19, A] = 1.0
x[18, 15, B] = 1.0
x[19, 13, A] = 1.0
x[20, 12, A] = 1.0
x[A, 16, A] = 1.0
x[B, 18, B] = 1.0
z[1, A, B] = 1.0
z[1, B, B] = 1.0
z[2, B, B] = 1.0
z[3, A, A] = 1.0
z[3, B, A] = 1.0
z[4, A, B] = 1.0
z[4, B, B] = 1.0
z[5, A, B] = 1.0
z[5, B, B] = 1.0
z[6, A, A] = 1.0
z[7, A, A] = 1.0
z[8, B, B] = 1.0
z[9, A, B] = 1.0
z[9, B, B] = 1.0
z[10, B, B] = 1.0
z[11, A, A] = 1.0
z[12, A, A] = 1.0
z[12, B, A] = 1.0
z[13, A, A] = 1.0
z[13, B, A] = 1.0
z[14, A, A] = 1.0
z[14, B, A] = 1.0
z[15, B, B] = 1.0
z[16, A, A] = 1.0
z[17, A, A] = 1.0
z[18, B, B] = 1.0
z[19, A, A] = 1.0
z[20, A, A] = 1.0
l[1, 9, B, 9] = 47.0
l[2, 10, B, 1] = 67.0
l[2, 10, B, 5] = 53.0
l[2, 10, B, 9] = 47.0
l[2, 10, B, 10] = 38.0
l[3, 20, A, 7] = 42.0
l[3, 20, A, 11] = 28.0
l[3, 20, A, 12] = 81.0
l[3, 20, A, 13] = 56.0
l[3, 20, A, 17] = 24.0
l[3, 20, A, 19] = 37.0
l[3, 20, A, 20] = 33.0
l[4, 2, B, 1] = 67.0
l[4, 2, B, 2] = 33.0
l[4, 2, B, 5] = 53.0
l[4, 2, B, 9] = 47.0
l[4, 2, B, 10] = 38.0
l[5, 1, B, 1] = 67.0
l[5, 1, B, 9] = 47.0
l[6, 14, A, 3] = 59.0
l[6, 14, A, 7] = 42.0
l[6, 14, A, 11] = 28.0
l[6, 14, A, 12] = 81.0
l[6, 14, A, 13] = 56.0
l[6, 14, A, 14] = 67.0
l[6, 14, A, 17] = 24.0
l[6, 14, A, 19] = 37.0
l[6, 14, A, 20] = 33.0
l[8, 4, B, 1] = 67.0
l[8, 4, B, 2] = 33.0
l[8, 4, B, 4] = 46.0
l[8, 4, B, 5] = 53.0
l[8, 4, B, 9] = 47.0
l[8, 4, B, 10] = 38.0
l[10, 5, B, 1] = 67.0
l[10, 5, B, 5] = 53.0
l[10, 5, B, 9] = 47.0
l[11, 17, A, 7] = 42.0
l[11, 17, A, 13] = 56.0
l[11, 17, A, 17] = 24.0
l[11, 17, A, 19] = 37.0
l[12, 11, A, 7] = 42.0
l[12, 11, A, 11] = 28.0
l[12, 11, A, 13] = 56.0
l[12, 11, A, 17] = 24.0
l[12, 11, A, 19] = 37.0
l[13, 7, A, 7] = 42.0
l[14, 3, A, 3] = 59.0
l[14, 3, A, 7] = 42.0
l[14, 3, A, 11] = 28.0
l[14, 3, A, 12] = 81.0
l[14, 3, A, 13] = 56.0
l[14, 3, A, 17] = 24.0
l[14, 3, A, 19] = 37.0
l[14, 3, A, 20] = 33.0
l[15, 8, B, 1] = 67.0
l[15, 8, B, 2] = 33.0
l[15, 8, B, 4] = 46.0
l[15, 8, B, 5] = 53.0
l[15, 8, B, 8] = 34.0
l[15, 8, B, 9] = 47.0
l[15, 8, B, 10] = 38.0
l[16, 6, A, 3] = 59.0
l[16, 6, A, 6] = 25.0
l[16, 6, A, 7] = 42.0
l[16, 6, A, 11] = 28.0
l[16, 6, A, 12] = 81.0
l[16, 6, A, 13] = 56.0
l[16, 6, A, 14] = 67.0
l[16, 6, A, 17] = 24.0
l[16, 6, A, 19] = 37.0
l[16, 6, A, 20] = 33.0
l[17, 19, A, 7] = 42.0
l[17, 19, A, 13] = 56.0
l[17, 19, A, 19] = 37.0
l[18, 15, B, 1] = 67.0
l[18, 15, B, 2] = 33.0
l[18, 15, B, 4] = 46.0
l[18, 15, B, 5] = 53.0
l[18, 15, B, 8] = 34.0
l[18, 15, B, 9] = 47.0
l[18, 15, B, 10] = 38.0
l[18, 15, B, 15] = 30.0
l[19, 13, A, 7] = 42.0
l[19, 13, A, 13] = 56.0
l[20, 12, A, 7] = 42.0
l[20, 12, A, 11] = 28.0
l[20, 12, A, 12] = 81.0
l[20, 12, A, 13] = 56.0
l[20, 12, A, 17] = 24.0
l[20, 12, A, 19] = 37.0
l[A, 16, A, 3] = 59.0
l[A, 16, A, 6] = 25.0
l[A, 16, A, 7] = 42.0
l[A, 16, A, 11] = 28.0
l[A, 16, A, 12] = 81.0
l[A, 16, A, 13] = 56.0
l[A, 16, A, 14] = 67.0
l[A, 16, A, 16] = 24.0
l[A, 16, A, 17] = 24.0
l[A, 16, A, 19] = 37.0
l[A, 16, A, 20] = 33.0
l[B, 18, B, 1] = 67.0
l[B, 18, B, 2] = 33.0
l[B, 18, B, 4] = 46.0
l[B, 18, B, 5] = 53.0
l[B, 18, B, 8] = 34.0
l[B, 18, B, 9] = 47.0
l[B, 18, B, 10] = 38.0
l[B, 18, B, 15] = 30.0
l[B, 18, B, 18] = 42.0
m[1, 9, B, 1] = 64.0
m[1, 9, B, 2] = 23.0
m[1, 9, B, 4] = 71.0
m[1, 9, B, 5] = 67.0
m[1, 9, B, 8] = 24.0
m[1, 9, B, 10] = 34.0
m[1, 9, B, 15] = 24.0
m[1, 9, B, 18] = 46.0
m[2, 10, B, 2] = 23.0
m[2, 10, B, 4] = 71.0
m[2, 10, B, 8] = 24.0
m[2, 10, B, 15] = 24.0
m[2, 10, B, 18] = 46.0
m[3, 20, A, 3] = 49.0
m[3, 20, A, 6] = 30.0
m[3, 20, A, 14] = 50.0
m[3, 20, A, 16] = 35.0
m[4, 2, B, 4] = 71.0
m[4, 2, B, 8] = 24.0
m[4, 2, B, 15] = 24.0
m[4, 2, B, 18] = 46.0
m[5, 1, B, 2] = 23.0
m[5, 1, B, 4] = 71.0
m[5, 1, B, 5] = 67.0
m[5, 1, B, 8] = 24.0
m[5, 1, B, 10] = 34.0
m[5, 1, B, 15] = 24.0
m[5, 1, B, 18] = 46.0
m[6, 14, A, 6] = 30.0
m[6, 14, A, 16] = 35.0
m[7, A, A, 3] = 49.0
m[7, A, A, 6] = 30.0
m[7, A, A, 7] = 29.0
m[7, A, A, 11] = 19.0
m[7, A, A, 12] = 80.0
m[7, A, A, 13] = 58.0
m[7, A, A, 14] = 50.0
m[7, A, A, 16] = 35.0
m[7, A, A, 17] = 34.0
m[7, A, A, 19] = 22.0
m[7, A, A, 20] = 26.0
m[8, 4, B, 8] = 24.0
m[8, 4, B, 15] = 24.0
m[8, 4, B, 18] = 46.0
m[9, B, B, 1] = 64.0
m[9, B, B, 2] = 23.0
m[9, B, B, 4] = 71.0
m[9, B, B, 5] = 67.0
m[9, B, B, 8] = 24.0
m[9, B, B, 9] = 81.0
m[9, B, B, 10] = 34.0
m[9, B, B, 15] = 24.0
m[9, B, B, 18] = 46.0
m[10, 5, B, 2] = 23.0
m[10, 5, B, 4] = 71.0
m[10, 5, B, 8] = 24.0
m[10, 5, B, 10] = 34.0
m[10, 5, B, 15] = 24.0
m[10, 5, B, 18] = 46.0
m[11, 17, A, 3] = 49.0
m[11, 17, A, 6] = 30.0
m[11, 17, A, 11] = 19.0
m[11, 17, A, 12] = 80.0
m[11, 17, A, 14] = 50.0
m[11, 17, A, 16] = 35.0
m[11, 17, A, 20] = 26.0
m[12, 11, A, 3] = 49.0
m[12, 11, A, 6] = 30.0
m[12, 11, A, 12] = 80.0
m[12, 11, A, 14] = 50.0
m[12, 11, A, 16] = 35.0
m[12, 11, A, 20] = 26.0
m[13, 7, A, 3] = 49.0
m[13, 7, A, 6] = 30.0
m[13, 7, A, 11] = 19.0
m[13, 7, A, 12] = 80.0
m[13, 7, A, 13] = 58.0
m[13, 7, A, 14] = 50.0
m[13, 7, A, 16] = 35.0
m[13, 7, A, 17] = 34.0
m[13, 7, A, 19] = 22.0
m[13, 7, A, 20] = 26.0
m[14, 3, A, 6] = 30.0
m[14, 3, A, 14] = 50.0
m[14, 3, A, 16] = 35.0
m[15, 8, B, 15] = 24.0
m[15, 8, B, 18] = 46.0
m[16, 6, A, 16] = 35.0
m[17, 19, A, 3] = 49.0
m[17, 19, A, 6] = 30.0
m[17, 19, A, 11] = 19.0
m[17, 19, A, 12] = 80.0
m[17, 19, A, 14] = 50.0
m[17, 19, A, 16] = 35.0
m[17, 19, A, 17] = 34.0
m[17, 19, A, 20] = 26.0
m[18, 15, B, 18] = 46.0
m[19, 13, A, 3] = 49.0
m[19, 13, A, 6] = 30.0
m[19, 13, A, 11] = 19.0
m[19, 13, A, 12] = 80.0
m[19, 13, A, 14] = 50.0
m[19, 13, A, 16] = 35.0
m[19, 13, A, 17] = 34.0
m[19, 13, A, 19] = 22.0
m[19, 13, A, 20] = 26.0
m[20, 12, A, 3] = 49.0
m[20, 12, A, 6] = 30.0
m[20, 12, A, 14] = 50.0
m[20, 12, A, 16] = 35.0
m[20, 12, A, 20] = 26.0
Tempo de execução: 27.6937956 segundos
