Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8017.dat
status= OPTIMAL
ID = 8017
Numero de clientes = 25
OF (custo) = 417.85
Best Objective = 417.85
Best Bound = 417.8499999999999
GAP = 0.0%
x[1, 23, A] = 1.0
x[2, A, A] = 1.0
x[7, 8, A] = 1.0
x[8, 2, A] = 1.0
x[9, 14, A] = 1.0
x[10, 25, A] = 1.0
x[11, 10, A] = 1.0
x[12, 13, A] = 1.0
x[13, 16, A] = 1.0
x[14, 21, A] = 1.0
x[15, A, A] = 1.0
x[16, 1, A] = 1.0
x[21, 15, A] = 1.0
x[23, 9, A] = 1.0
x[24, 12, A] = 1.0
x[25, 24, A] = 1.0
x[A, 7, A] = 1.0
x[A, 11, A] = 1.0
z[1, A, A] = 1.0
z[2, A, A] = 1.0
z[7, A, A] = 1.0
z[8, A, A] = 1.0
z[9, A, A] = 1.0
z[10, A, A] = 1.0
z[11, A, A] = 1.0
z[12, A, A] = 1.0
z[13, A, A] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, A] = 1.0
z[21, A, A] = 1.0
z[23, A, A] = 1.0
z[24, A, A] = 1.0
z[25, A, A] = 1.0
l[1, 23, A, 9] = 16.0
l[1, 23, A, 14] = 18.0
l[1, 23, A, 15] = 11.0
l[1, 23, A, 21] = 16.0
l[1, 23, A, 23] = 15.0
l[7, 8, A, 2] = 11.0
l[7, 8, A, 8] = 11.0
l[8, 2, A, 2] = 11.0
l[9, 14, A, 14] = 18.0
l[9, 14, A, 15] = 11.0
l[9, 14, A, 21] = 16.0
l[10, 25, A, 1] = 19.0
l[10, 25, A, 9] = 16.0
l[10, 25, A, 12] = 16.0
l[10, 25, A, 13] = 20.0
l[10, 25, A, 14] = 18.0
l[10, 25, A, 15] = 11.0
l[10, 25, A, 16] = 7.0
l[10, 25, A, 21] = 16.0
l[10, 25, A, 23] = 15.0
l[10, 25, A, 24] = 14.0
l[10, 25, A, 25] = 8.0
l[11, 10, A, 1] = 19.0
l[11, 10, A, 9] = 16.0
l[11, 10, A, 10] = 13.0
l[11, 10, A, 12] = 16.0
l[11, 10, A, 13] = 20.0
l[11, 10, A, 14] = 18.0
l[11, 10, A, 15] = 11.0
l[11, 10, A, 16] = 7.0
l[11, 10, A, 21] = 16.0
l[11, 10, A, 23] = 15.0
l[11, 10, A, 24] = 14.0
l[11, 10, A, 25] = 8.0
l[12, 13, A, 1] = 19.0
l[12, 13, A, 9] = 16.0
l[12, 13, A, 13] = 20.0
l[12, 13, A, 14] = 18.0
l[12, 13, A, 15] = 11.0
l[12, 13, A, 16] = 7.0
l[12, 13, A, 21] = 16.0
l[12, 13, A, 23] = 15.0
l[13, 16, A, 1] = 19.0
l[13, 16, A, 9] = 16.0
l[13, 16, A, 14] = 18.0
l[13, 16, A, 15] = 11.0
l[13, 16, A, 16] = 7.0
l[13, 16, A, 21] = 16.0
l[13, 16, A, 23] = 15.0
l[14, 21, A, 15] = 11.0
l[14, 21, A, 21] = 16.0
l[16, 1, A, 1] = 19.0
l[16, 1, A, 9] = 16.0
l[16, 1, A, 14] = 18.0
l[16, 1, A, 15] = 11.0
l[16, 1, A, 21] = 16.0
l[16, 1, A, 23] = 15.0
l[21, 15, A, 15] = 11.0
l[23, 9, A, 9] = 16.0
l[23, 9, A, 14] = 18.0
l[23, 9, A, 15] = 11.0
l[23, 9, A, 21] = 16.0
l[24, 12, A, 1] = 19.0
l[24, 12, A, 9] = 16.0
l[24, 12, A, 12] = 16.0
l[24, 12, A, 13] = 20.0
l[24, 12, A, 14] = 18.0
l[24, 12, A, 15] = 11.0
l[24, 12, A, 16] = 7.0
l[24, 12, A, 21] = 16.0
l[24, 12, A, 23] = 15.0
l[25, 24, A, 1] = 19.0
l[25, 24, A, 9] = 16.0
l[25, 24, A, 12] = 16.0
l[25, 24, A, 13] = 20.0
l[25, 24, A, 14] = 18.0
l[25, 24, A, 15] = 11.0
l[25, 24, A, 16] = 7.0
l[25, 24, A, 21] = 16.0
l[25, 24, A, 23] = 15.0
l[25, 24, A, 24] = 14.0
l[A, 7, A, 2] = 11.0
l[A, 7, A, 7] = 15.0
l[A, 7, A, 8] = 11.0
l[A, 11, A, 1] = 19.0
l[A, 11, A, 9] = 16.0
l[A, 11, A, 10] = 13.0
l[A, 11, A, 11] = 13.0
l[A, 11, A, 12] = 16.0
l[A, 11, A, 13] = 20.0
l[A, 11, A, 14] = 18.0
l[A, 11, A, 15] = 11.0
l[A, 11, A, 16] = 7.0
l[A, 11, A, 21] = 16.0
l[A, 11, A, 23] = 15.0
l[A, 11, A, 24] = 14.0
l[A, 11, A, 25] = 8.0
m[1, 23, A, 1] = 18.0
m[1, 23, A, 10] = 8.0
m[1, 23, A, 11] = 14.0
m[1, 23, A, 12] = 18.0
m[1, 23, A, 13] = 12.0
m[1, 23, A, 16] = 19.0
m[1, 23, A, 24] = 11.0
m[1, 23, A, 25] = 21.0
m[2, A, A, 2] = 8.0
m[2, A, A, 7] = 14.0
m[2, A, A, 8] = 9.0
m[7, 8, A, 7] = 14.0
m[8, 2, A, 7] = 14.0
m[8, 2, A, 8] = 9.0
m[9, 14, A, 1] = 18.0
m[9, 14, A, 9] = 11.0
m[9, 14, A, 10] = 8.0
m[9, 14, A, 11] = 14.0
m[9, 14, A, 12] = 18.0
m[9, 14, A, 13] = 12.0
m[9, 14, A, 16] = 19.0
m[9, 14, A, 23] = 12.0
m[9, 14, A, 24] = 11.0
m[9, 14, A, 25] = 21.0
m[10, 25, A, 10] = 8.0
m[10, 25, A, 11] = 14.0
m[11, 10, A, 11] = 14.0
m[12, 13, A, 10] = 8.0
m[12, 13, A, 11] = 14.0
m[12, 13, A, 12] = 18.0
m[12, 13, A, 24] = 11.0
m[12, 13, A, 25] = 21.0
m[13, 16, A, 10] = 8.0
m[13, 16, A, 11] = 14.0
m[13, 16, A, 12] = 18.0
m[13, 16, A, 13] = 12.0
m[13, 16, A, 24] = 11.0
m[13, 16, A, 25] = 21.0
m[14, 21, A, 1] = 18.0
m[14, 21, A, 9] = 11.0
m[14, 21, A, 10] = 8.0
m[14, 21, A, 11] = 14.0
m[14, 21, A, 12] = 18.0
m[14, 21, A, 13] = 12.0
m[14, 21, A, 14] = 10.0
m[14, 21, A, 16] = 19.0
m[14, 21, A, 23] = 12.0
m[14, 21, A, 24] = 11.0
m[14, 21, A, 25] = 21.0
m[15, A, A, 1] = 18.0
m[15, A, A, 9] = 11.0
m[15, A, A, 10] = 8.0
m[15, A, A, 11] = 14.0
m[15, A, A, 12] = 18.0
m[15, A, A, 13] = 12.0
m[15, A, A, 14] = 10.0
m[15, A, A, 15] = 19.0
m[15, A, A, 16] = 19.0
m[15, A, A, 21] = 19.0
m[15, A, A, 23] = 12.0
m[15, A, A, 24] = 11.0
m[15, A, A, 25] = 21.0
m[16, 1, A, 10] = 8.0
m[16, 1, A, 11] = 14.0
m[16, 1, A, 12] = 18.0
m[16, 1, A, 13] = 12.0
m[16, 1, A, 16] = 19.0
m[16, 1, A, 24] = 11.0
m[16, 1, A, 25] = 21.0
m[21, 15, A, 1] = 18.0
m[21, 15, A, 9] = 11.0
m[21, 15, A, 10] = 8.0
m[21, 15, A, 11] = 14.0
m[21, 15, A, 12] = 18.0
m[21, 15, A, 13] = 12.0
m[21, 15, A, 14] = 10.0
m[21, 15, A, 16] = 19.0
m[21, 15, A, 21] = 19.0
m[21, 15, A, 23] = 12.0
m[21, 15, A, 24] = 11.0
m[21, 15, A, 25] = 21.0
m[23, 9, A, 1] = 18.0
m[23, 9, A, 10] = 8.0
m[23, 9, A, 11] = 14.0
m[23, 9, A, 12] = 18.0
m[23, 9, A, 13] = 12.0
m[23, 9, A, 16] = 19.0
m[23, 9, A, 23] = 12.0
m[23, 9, A, 24] = 11.0
m[23, 9, A, 25] = 21.0
m[24, 12, A, 10] = 8.0
m[24, 12, A, 11] = 14.0
m[24, 12, A, 24] = 11.0
m[24, 12, A, 25] = 21.0
m[25, 24, A, 10] = 8.0
m[25, 24, A, 11] = 14.0
m[25, 24, A, 25] = 21.0
Tempo de execução: 659.2803848 segundos
