Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8021.dat
status= OPTIMAL
ID = 8021
Numero de clientes = 30
OF (custo) = 494.85
Best Objective = 494.85
Best Bound = 494.85
GAP = 0.0%
x[1, 19, B] = 1.0
x[3, 20, B] = 1.0
x[4, B, B] = 1.0
x[16, 4, B] = 1.0
x[17, 25, B] = 1.0
x[19, 3, B] = 1.0
x[20, 16, B] = 1.0
x[21, 26, B] = 1.0
x[22, 1, B] = 1.0
x[25, 30, B] = 1.0
x[26, 27, B] = 1.0
x[27, 17, B] = 1.0
x[28, 29, B] = 1.0
x[29, 21, B] = 1.0
x[30, B, B] = 1.0
x[B, 22, B] = 1.0
x[B, 28, B] = 1.0
z[1, B, B] = 1.0
z[3, B, B] = 1.0
z[4, B, B] = 1.0
z[16, B, B] = 1.0
z[17, B, B] = 1.0
z[19, B, B] = 1.0
z[20, B, B] = 1.0
z[21, B, B] = 1.0
z[22, B, B] = 1.0
z[25, B, B] = 1.0
z[26, B, B] = 1.0
z[27, B, B] = 1.0
z[28, B, B] = 1.0
z[29, B, B] = 1.0
z[30, B, B] = 1.0
l[1, 19, B, 3] = 12.0
l[1, 19, B, 4] = 13.0
l[1, 19, B, 16] = 16.0
l[1, 19, B, 19] = 8.0
l[1, 19, B, 20] = 8.0
l[3, 20, B, 4] = 13.0
l[3, 20, B, 16] = 16.0
l[3, 20, B, 20] = 8.0
l[16, 4, B, 4] = 13.0
l[17, 25, B, 25] = 8.0
l[17, 25, B, 30] = 8.0
l[19, 3, B, 3] = 12.0
l[19, 3, B, 4] = 13.0
l[19, 3, B, 16] = 16.0
l[19, 3, B, 20] = 8.0
l[20, 16, B, 4] = 13.0
l[20, 16, B, 16] = 16.0
l[21, 26, B, 17] = 6.0
l[21, 26, B, 25] = 8.0
l[21, 26, B, 26] = 11.0
l[21, 26, B, 27] = 16.0
l[21, 26, B, 30] = 8.0
l[22, 1, B, 1] = 14.0
l[22, 1, B, 3] = 12.0
l[22, 1, B, 4] = 13.0
l[22, 1, B, 16] = 16.0
l[22, 1, B, 19] = 8.0
l[22, 1, B, 20] = 8.0
l[25, 30, B, 30] = 8.0
l[26, 27, B, 17] = 6.0
l[26, 27, B, 25] = 8.0
l[26, 27, B, 27] = 16.0
l[26, 27, B, 30] = 8.0
l[27, 17, B, 17] = 6.0
l[27, 17, B, 25] = 8.0
l[27, 17, B, 30] = 8.0
l[28, 29, B, 17] = 6.0
l[28, 29, B, 21] = 19.0
l[28, 29, B, 25] = 8.0
l[28, 29, B, 26] = 11.0
l[28, 29, B, 27] = 16.0
l[28, 29, B, 29] = 13.0
l[28, 29, B, 30] = 8.0
l[29, 21, B, 17] = 6.0
l[29, 21, B, 21] = 19.0
l[29, 21, B, 25] = 8.0
l[29, 21, B, 26] = 11.0
l[29, 21, B, 27] = 16.0
l[29, 21, B, 30] = 8.0
l[B, 22, B, 1] = 14.0
l[B, 22, B, 3] = 12.0
l[B, 22, B, 4] = 13.0
l[B, 22, B, 16] = 16.0
l[B, 22, B, 19] = 8.0
l[B, 22, B, 20] = 8.0
l[B, 22, B, 22] = 8.0
l[B, 28, B, 17] = 6.0
l[B, 28, B, 21] = 19.0
l[B, 28, B, 25] = 8.0
l[B, 28, B, 26] = 11.0
l[B, 28, B, 27] = 16.0
l[B, 28, B, 28] = 16.0
l[B, 28, B, 29] = 13.0
l[B, 28, B, 30] = 8.0
m[1, 19, B, 1] = 15.0
m[1, 19, B, 22] = 11.0
m[3, 20, B, 1] = 15.0
m[3, 20, B, 3] = 18.0
m[3, 20, B, 19] = 8.0
m[3, 20, B, 22] = 11.0
m[4, B, B, 1] = 15.0
m[4, B, B, 3] = 18.0
m[4, B, B, 4] = 7.0
m[4, B, B, 16] = 8.0
m[4, B, B, 19] = 8.0
m[4, B, B, 20] = 16.0
m[4, B, B, 22] = 11.0
m[16, 4, B, 1] = 15.0
m[16, 4, B, 3] = 18.0
m[16, 4, B, 16] = 8.0
m[16, 4, B, 19] = 8.0
m[16, 4, B, 20] = 16.0
m[16, 4, B, 22] = 11.0
m[17, 25, B, 17] = 6.0
m[17, 25, B, 21] = 7.0
m[17, 25, B, 26] = 18.0
m[17, 25, B, 27] = 17.0
m[17, 25, B, 28] = 18.0
m[17, 25, B, 29] = 7.0
m[19, 3, B, 1] = 15.0
m[19, 3, B, 19] = 8.0
m[19, 3, B, 22] = 11.0
m[20, 16, B, 1] = 15.0
m[20, 16, B, 3] = 18.0
m[20, 16, B, 19] = 8.0
m[20, 16, B, 20] = 16.0
m[20, 16, B, 22] = 11.0
m[21, 26, B, 21] = 7.0
m[21, 26, B, 28] = 18.0
m[21, 26, B, 29] = 7.0
m[22, 1, B, 22] = 11.0
m[25, 30, B, 17] = 6.0
m[25, 30, B, 21] = 7.0
m[25, 30, B, 25] = 7.0
m[25, 30, B, 26] = 18.0
m[25, 30, B, 27] = 17.0
m[25, 30, B, 28] = 18.0
m[25, 30, B, 29] = 7.0
m[26, 27, B, 21] = 7.0
m[26, 27, B, 26] = 18.0
m[26, 27, B, 28] = 18.0
m[26, 27, B, 29] = 7.0
m[27, 17, B, 21] = 7.0
m[27, 17, B, 26] = 18.0
m[27, 17, B, 27] = 17.0
m[27, 17, B, 28] = 18.0
m[27, 17, B, 29] = 7.0
m[28, 29, B, 28] = 18.0
m[29, 21, B, 28] = 18.0
m[29, 21, B, 29] = 7.0
m[30, B, B, 17] = 6.0
m[30, B, B, 21] = 7.0
m[30, B, B, 25] = 7.0
m[30, B, B, 26] = 18.0
m[30, B, B, 27] = 17.0
m[30, B, B, 28] = 18.0
m[30, B, B, 29] = 7.0
m[30, B, B, 30] = 13.0
Tempo de execução: 176.1378074 segundos
