Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8040.dat
status= OPTIMAL
ID = 8040
Numero de clientes = 20
OF (custo) = 685.24
Best Objective = 685.24
Best Bound = 685.24
GAP = 0.0%
x[1, 18, A] = 1.0
x[2, 10, B] = 1.0
x[3, 19, A] = 1.0
x[4, 20, B] = 1.0
x[5, 2, B] = 1.0
x[6, 15, A] = 1.0
x[7, 17, B] = 1.0
x[8, 4, B] = 1.0
x[9, 14, A] = 1.0
x[10, B, B] = 1.0
x[11, 3, A] = 1.0
x[12, 7, B] = 1.0
x[13, 1, A] = 1.0
x[14, 11, A] = 1.0
x[15, 16, A] = 1.0
x[16, A, A] = 1.0
x[17, 8, B] = 1.0
x[18, 6, A] = 1.0
x[19, 13, A] = 1.0
x[20, 5, B] = 1.0
x[A, 9, A] = 1.0
x[B, 12, B] = 1.0
l[1, 18, A, 6] = 60.0
l[1, 18, A, 15] = 53.0
l[1, 18, A, 16] = 7.0
l[2, 10, B, 10] = 46.0
l[3, 19, A, 1] = 29.0
l[3, 19, A, 6] = 60.0
l[3, 19, A, 13] = 26.0
l[3, 19, A, 15] = 53.0
l[3, 19, A, 16] = 7.0
l[3, 19, A, 19] = 25.0
l[4, 20, B, 10] = 46.0
l[4, 20, B, 20] = 72.0
l[5, 2, B, 10] = 46.0
l[6, 15, A, 15] = 53.0
l[6, 15, A, 16] = 7.0
l[7, 17, B, 8] = 44.0
l[7, 17, B, 10] = 46.0
l[7, 17, B, 17] = 39.0
l[7, 17, B, 20] = 72.0
l[8, 4, B, 10] = 46.0
l[8, 4, B, 20] = 72.0
l[9, 14, A, 1] = 29.0
l[9, 14, A, 6] = 60.0
l[9, 14, A, 11] = 57.0
l[9, 14, A, 13] = 26.0
l[9, 14, A, 14] = 70.0
l[9, 14, A, 15] = 53.0
l[9, 14, A, 16] = 7.0
l[9, 14, A, 19] = 25.0
l[11, 3, A, 1] = 29.0
l[11, 3, A, 6] = 60.0
l[11, 3, A, 13] = 26.0
l[11, 3, A, 15] = 53.0
l[11, 3, A, 16] = 7.0
l[11, 3, A, 19] = 25.0
l[12, 7, B, 7] = 62.0
l[12, 7, B, 8] = 44.0
l[12, 7, B, 10] = 46.0
l[12, 7, B, 17] = 39.0
l[12, 7, B, 20] = 72.0
l[13, 1, A, 1] = 29.0
l[13, 1, A, 6] = 60.0
l[13, 1, A, 15] = 53.0
l[13, 1, A, 16] = 7.0
l[14, 11, A, 1] = 29.0
l[14, 11, A, 6] = 60.0
l[14, 11, A, 11] = 57.0
l[14, 11, A, 13] = 26.0
l[14, 11, A, 15] = 53.0
l[14, 11, A, 16] = 7.0
l[14, 11, A, 19] = 25.0
l[15, 16, A, 16] = 7.0
l[17, 8, B, 8] = 44.0
l[17, 8, B, 10] = 46.0
l[17, 8, B, 20] = 72.0
l[18, 6, A, 6] = 60.0
l[18, 6, A, 15] = 53.0
l[18, 6, A, 16] = 7.0
l[19, 13, A, 1] = 29.0
l[19, 13, A, 6] = 60.0
l[19, 13, A, 13] = 26.0
l[19, 13, A, 15] = 53.0
l[19, 13, A, 16] = 7.0
l[20, 5, B, 10] = 46.0
l[A, 9, A, 1] = 29.0
l[A, 9, A, 6] = 60.0
l[A, 9, A, 9] = 74.0
l[A, 9, A, 11] = 57.0
l[A, 9, A, 13] = 26.0
l[A, 9, A, 14] = 70.0
l[A, 9, A, 15] = 53.0
l[A, 9, A, 16] = 7.0
l[A, 9, A, 19] = 25.0
l[B, 12, B, 7] = 62.0
l[B, 12, B, 8] = 44.0
l[B, 12, B, 10] = 46.0
l[B, 12, B, 12] = 31.0
l[B, 12, B, 17] = 39.0
l[B, 12, B, 20] = 72.0
m[1, 18, A, 1] = 64.0
m[1, 18, A, 9] = 30.0
m[1, 18, A, 11] = 44.0
m[1, 18, A, 13] = 24.0
m[1, 18, A, 14] = 67.0
m[2, 10, B, 7] = 60.0
m[2, 10, B, 8] = 49.0
m[2, 10, B, 12] = 24.0
m[2, 10, B, 17] = 69.0
m[2, 10, B, 20] = 40.0
m[3, 19, A, 9] = 30.0
m[3, 19, A, 11] = 44.0
m[3, 19, A, 14] = 67.0
m[4, 20, B, 7] = 60.0
m[4, 20, B, 8] = 49.0
m[4, 20, B, 12] = 24.0
m[4, 20, B, 17] = 69.0
m[5, 2, B, 7] = 60.0
m[5, 2, B, 8] = 49.0
m[5, 2, B, 12] = 24.0
m[5, 2, B, 17] = 69.0
m[5, 2, B, 20] = 40.0
m[6, 15, A, 1] = 64.0
m[6, 15, A, 6] = 43.0
m[6, 15, A, 9] = 30.0
m[6, 15, A, 11] = 44.0
m[6, 15, A, 13] = 24.0
m[6, 15, A, 14] = 67.0
m[7, 17, B, 7] = 60.0
m[7, 17, B, 12] = 24.0
m[8, 4, B, 7] = 60.0
m[8, 4, B, 8] = 49.0
m[8, 4, B, 12] = 24.0
m[8, 4, B, 17] = 69.0
m[9, 14, A, 9] = 30.0
m[10, B, B, 7] = 60.0
m[10, B, B, 8] = 49.0
m[10, B, B, 10] = 57.0
m[10, B, B, 12] = 24.0
m[10, B, B, 17] = 69.0
m[10, B, B, 20] = 40.0
m[11, 3, A, 9] = 30.0
m[11, 3, A, 11] = 44.0
m[11, 3, A, 14] = 67.0
m[12, 7, B, 12] = 24.0
m[13, 1, A, 9] = 30.0
m[13, 1, A, 11] = 44.0
m[13, 1, A, 13] = 24.0
m[13, 1, A, 14] = 67.0
m[14, 11, A, 9] = 30.0
m[14, 11, A, 14] = 67.0
m[15, 16, A, 1] = 64.0
m[15, 16, A, 6] = 43.0
m[15, 16, A, 9] = 30.0
m[15, 16, A, 11] = 44.0
m[15, 16, A, 13] = 24.0
m[15, 16, A, 14] = 67.0
m[15, 16, A, 15] = 47.0
m[16, A, A, 1] = 64.0
m[16, A, A, 6] = 43.0
m[16, A, A, 9] = 30.0
m[16, A, A, 11] = 44.0
m[16, A, A, 13] = 24.0
m[16, A, A, 14] = 67.0
m[16, A, A, 15] = 47.0
m[17, 8, B, 7] = 60.0
m[17, 8, B, 12] = 24.0
m[17, 8, B, 17] = 69.0
m[18, 6, A, 1] = 64.0
m[18, 6, A, 9] = 30.0
m[18, 6, A, 11] = 44.0
m[18, 6, A, 13] = 24.0
m[18, 6, A, 14] = 67.0
m[19, 13, A, 9] = 30.0
m[19, 13, A, 11] = 44.0
m[19, 13, A, 14] = 67.0
m[20, 5, B, 7] = 60.0
m[20, 5, B, 8] = 49.0
m[20, 5, B, 12] = 24.0
m[20, 5, B, 17] = 69.0
m[20, 5, B, 20] = 40.0
n[1, 18, A, 16] = 21.0
n[1, 18, A, 18] = 55.0
n[3, 19, A, 16] = 21.0
n[3, 19, A, 18] = 55.0
n[3, 19, A, 19] = 18.0
n[4, 20, B, 2] = 32.0
n[4, 20, B, 5] = 36.0
n[5, 2, B, 2] = 32.0
n[6, 15, A, 16] = 21.0
n[7, 17, B, 2] = 32.0
n[7, 17, B, 4] = 51.0
n[7, 17, B, 5] = 36.0
n[8, 4, B, 2] = 32.0
n[8, 4, B, 4] = 51.0
n[8, 4, B, 5] = 36.0
n[11, 3, A, 3] = 56.0
n[11, 3, A, 16] = 21.0
n[11, 3, A, 18] = 55.0
n[11, 3, A, 19] = 18.0
n[12, 7, B, 2] = 32.0
n[12, 7, B, 5] = 36.0
n[13, 1, A, 16] = 21.0
n[13, 1, A, 18] = 55.0
n[14, 11, A, 16] = 21.0
n[14, 11, A, 18] = 55.0
n[14, 11, A, 19] = 18.0
n[15, 16, A, 16] = 21.0
n[17, 8, B, 2] = 32.0
n[17, 8, B, 4] = 51.0
n[17, 8, B, 5] = 36.0
n[18, 6, A, 16] = 21.0
n[19, 13, A, 16] = 21.0
n[19, 13, A, 18] = 55.0
n[20, 5, B, 2] = 32.0
n[20, 5, B, 5] = 36.0
Tempo de execução: 5.0478134 segundos
