Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8042.dat
status= OPTIMAL
ID = 8042
Numero de clientes = 25
OF (custo) = 510.38
Best Objective = 510.38
Best Bound = 510.38
GAP = 0.0%
x[1, 18, B] = 1.0
x[2, B, B] = 1.0
x[4, 15, B] = 1.0
x[6, B, B] = 1.0
x[8, 14, B] = 1.0
x[9, 22, B] = 1.0
x[11, 2, B] = 1.0
x[12, 6, B] = 1.0
x[13, 4, B] = 1.0
x[14, 17, B] = 1.0
x[15, 8, B] = 1.0
x[17, 12, B] = 1.0
x[18, 11, B] = 1.0
x[22, 1, B] = 1.0
x[B, 9, B] = 1.0
x[B, 13, B] = 1.0
z[1, B, B] = 1.0
z[2, B, B] = 1.0
z[4, B, B] = 1.0
z[6, B, B] = 1.0
z[8, B, B] = 1.0
z[9, B, B] = 1.0
z[11, B, B] = 1.0
z[12, B, B] = 1.0
z[13, B, B] = 1.0
z[14, B, B] = 1.0
z[15, B, B] = 1.0
z[17, B, B] = 1.0
z[18, B, B] = 1.0
z[22, B, B] = 1.0
l[1, 18, B, 2] = 10.0
l[1, 18, B, 11] = 32.0
l[1, 18, B, 18] = 33.0
l[4, 15, B, 6] = 20.0
l[4, 15, B, 8] = 25.0
l[4, 15, B, 12] = 19.0
l[4, 15, B, 14] = 18.0
l[4, 15, B, 15] = 30.0
l[4, 15, B, 17] = 27.0
l[8, 14, B, 6] = 20.0
l[8, 14, B, 12] = 19.0
l[8, 14, B, 14] = 18.0
l[8, 14, B, 17] = 27.0
l[9, 22, B, 1] = 22.0
l[9, 22, B, 2] = 10.0
l[9, 22, B, 11] = 32.0
l[9, 22, B, 18] = 33.0
l[9, 22, B, 22] = 21.0
l[11, 2, B, 2] = 10.0
l[12, 6, B, 6] = 20.0
l[13, 4, B, 4] = 15.0
l[13, 4, B, 6] = 20.0
l[13, 4, B, 8] = 25.0
l[13, 4, B, 12] = 19.0
l[13, 4, B, 14] = 18.0
l[13, 4, B, 15] = 30.0
l[13, 4, B, 17] = 27.0
l[14, 17, B, 6] = 20.0
l[14, 17, B, 12] = 19.0
l[14, 17, B, 17] = 27.0
l[15, 8, B, 6] = 20.0
l[15, 8, B, 8] = 25.0
l[15, 8, B, 12] = 19.0
l[15, 8, B, 14] = 18.0
l[15, 8, B, 17] = 27.0
l[17, 12, B, 6] = 20.0
l[17, 12, B, 12] = 19.0
l[18, 11, B, 2] = 10.0
l[18, 11, B, 11] = 32.0
l[22, 1, B, 1] = 22.0
l[22, 1, B, 2] = 10.0
l[22, 1, B, 11] = 32.0
l[22, 1, B, 18] = 33.0
l[B, 9, B, 1] = 22.0
l[B, 9, B, 2] = 10.0
l[B, 9, B, 9] = 34.0
l[B, 9, B, 11] = 32.0
l[B, 9, B, 18] = 33.0
l[B, 9, B, 22] = 21.0
l[B, 13, B, 4] = 15.0
l[B, 13, B, 6] = 20.0
l[B, 13, B, 8] = 25.0
l[B, 13, B, 12] = 19.0
l[B, 13, B, 13] = 34.0
l[B, 13, B, 14] = 18.0
l[B, 13, B, 15] = 30.0
l[B, 13, B, 17] = 27.0
m[1, 18, B, 1] = 34.0
m[1, 18, B, 9] = 20.0
m[1, 18, B, 22] = 38.0
m[2, B, B, 1] = 34.0
m[2, B, B, 2] = 26.0
m[2, B, B, 9] = 20.0
m[2, B, B, 11] = 19.0
m[2, B, B, 18] = 25.0
m[2, B, B, 22] = 38.0
m[4, 15, B, 4] = 13.0
m[4, 15, B, 13] = 36.0
m[6, B, B, 4] = 13.0
m[6, B, B, 6] = 26.0
m[6, B, B, 8] = 26.0
m[6, B, B, 12] = 20.0
m[6, B, B, 13] = 36.0
m[6, B, B, 14] = 12.0
m[6, B, B, 15] = 18.0
m[6, B, B, 17] = 27.0
m[8, 14, B, 4] = 13.0
m[8, 14, B, 8] = 26.0
m[8, 14, B, 13] = 36.0
m[8, 14, B, 15] = 18.0
m[9, 22, B, 9] = 20.0
m[11, 2, B, 1] = 34.0
m[11, 2, B, 9] = 20.0
m[11, 2, B, 11] = 19.0
m[11, 2, B, 18] = 25.0
m[11, 2, B, 22] = 38.0
m[12, 6, B, 4] = 13.0
m[12, 6, B, 8] = 26.0
m[12, 6, B, 12] = 20.0
m[12, 6, B, 13] = 36.0
m[12, 6, B, 14] = 12.0
m[12, 6, B, 15] = 18.0
m[12, 6, B, 17] = 27.0
m[13, 4, B, 13] = 36.0
m[14, 17, B, 4] = 13.0
m[14, 17, B, 8] = 26.0
m[14, 17, B, 13] = 36.0
m[14, 17, B, 14] = 12.0
m[14, 17, B, 15] = 18.0
m[15, 8, B, 4] = 13.0
m[15, 8, B, 13] = 36.0
m[15, 8, B, 15] = 18.0
m[17, 12, B, 4] = 13.0
m[17, 12, B, 8] = 26.0
m[17, 12, B, 13] = 36.0
m[17, 12, B, 14] = 12.0
m[17, 12, B, 15] = 18.0
m[17, 12, B, 17] = 27.0
m[18, 11, B, 1] = 34.0
m[18, 11, B, 9] = 20.0
m[18, 11, B, 18] = 25.0
m[18, 11, B, 22] = 38.0
m[22, 1, B, 9] = 20.0
m[22, 1, B, 22] = 38.0
Tempo de execução: 210.866549 segundos
