Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8045.dat
status= OPTIMAL
ID = 8045
Numero de clientes = 25
OF (custo) = 501.2199999999999
Best Objective = 501.2199999999999
Best Bound = 501.21999999999935
GAP = 0.0%
x[3, 10, B] = 1.0
x[5, 8, B] = 1.0
x[7, 20, B] = 1.0
x[8, B, B] = 1.0
x[9, 13, B] = 1.0
x[10, 21, B] = 1.0
x[12, B, B] = 1.0
x[13, 23, B] = 1.0
x[16, 19, B] = 1.0
x[19, 12, B] = 1.0
x[20, 22, B] = 1.0
x[21, 5, B] = 1.0
x[22, 24, B] = 1.0
x[23, 16, B] = 1.0
x[24, 9, B] = 1.0
x[B, 3, B] = 1.0
x[B, 7, B] = 1.0
z[3, B, B] = 1.0
z[5, B, B] = 1.0
z[7, B, B] = 1.0
z[8, B, B] = 1.0
z[9, B, B] = 1.0
z[10, B, B] = 1.0
z[12, B, B] = 1.0
z[13, B, B] = 1.0
z[16, B, B] = 1.0
z[19, B, B] = 1.0
z[20, B, B] = 1.0
z[21, B, B] = 1.0
z[22, B, B] = 1.0
z[23, B, B] = 1.0
z[24, B, B] = 1.0
l[3, 10, B, 5] = 68.0
l[3, 10, B, 8] = 44.0
l[3, 10, B, 10] = 67.0
l[3, 10, B, 21] = 35.0
l[5, 8, B, 8] = 44.0
l[7, 20, B, 9] = 31.0
l[7, 20, B, 12] = 54.0
l[7, 20, B, 13] = 55.0
l[7, 20, B, 16] = 33.0
l[7, 20, B, 19] = 65.0
l[7, 20, B, 20] = 68.0
l[7, 20, B, 22] = 30.0
l[7, 20, B, 23] = 36.0
l[7, 20, B, 24] = 35.0
l[9, 13, B, 12] = 54.0
l[9, 13, B, 13] = 55.0
l[9, 13, B, 16] = 33.0
l[9, 13, B, 19] = 65.0
l[9, 13, B, 23] = 36.0
l[10, 21, B, 5] = 68.0
l[10, 21, B, 8] = 44.0
l[10, 21, B, 21] = 35.0
l[13, 23, B, 12] = 54.0
l[13, 23, B, 16] = 33.0
l[13, 23, B, 19] = 65.0
l[13, 23, B, 23] = 36.0
l[16, 19, B, 12] = 54.0
l[16, 19, B, 19] = 65.0
l[19, 12, B, 12] = 54.0
l[20, 22, B, 9] = 31.0
l[20, 22, B, 12] = 54.0
l[20, 22, B, 13] = 55.0
l[20, 22, B, 16] = 33.0
l[20, 22, B, 19] = 65.0
l[20, 22, B, 22] = 30.0
l[20, 22, B, 23] = 36.0
l[20, 22, B, 24] = 35.0
l[21, 5, B, 5] = 68.0
l[21, 5, B, 8] = 44.0
l[22, 24, B, 9] = 31.0
l[22, 24, B, 12] = 54.0
l[22, 24, B, 13] = 55.0
l[22, 24, B, 16] = 33.0
l[22, 24, B, 19] = 65.0
l[22, 24, B, 23] = 36.0
l[22, 24, B, 24] = 35.0
l[23, 16, B, 12] = 54.0
l[23, 16, B, 16] = 33.0
l[23, 16, B, 19] = 65.0
l[24, 9, B, 9] = 31.0
l[24, 9, B, 12] = 54.0
l[24, 9, B, 13] = 55.0
l[24, 9, B, 16] = 33.0
l[24, 9, B, 19] = 65.0
l[24, 9, B, 23] = 36.0
l[B, 3, B, 3] = 51.0
l[B, 3, B, 5] = 68.0
l[B, 3, B, 8] = 44.0
l[B, 3, B, 10] = 67.0
l[B, 3, B, 21] = 35.0
l[B, 7, B, 7] = 73.0
l[B, 7, B, 9] = 31.0
l[B, 7, B, 12] = 54.0
l[B, 7, B, 13] = 55.0
l[B, 7, B, 16] = 33.0
l[B, 7, B, 19] = 65.0
l[B, 7, B, 20] = 68.0
l[B, 7, B, 22] = 30.0
l[B, 7, B, 23] = 36.0
l[B, 7, B, 24] = 35.0
m[3, 10, B, 3] = 63.0
m[5, 8, B, 3] = 63.0
m[5, 8, B, 5] = 65.0
m[5, 8, B, 10] = 41.0
m[5, 8, B, 21] = 49.0
m[7, 20, B, 7] = 42.0
m[8, B, B, 3] = 63.0
m[8, B, B, 5] = 65.0
m[8, B, B, 8] = 32.0
m[8, B, B, 10] = 41.0
m[8, B, B, 21] = 49.0
m[9, 13, B, 7] = 42.0
m[9, 13, B, 9] = 53.0
m[9, 13, B, 20] = 50.0
m[9, 13, B, 22] = 34.0
m[9, 13, B, 24] = 66.0
m[10, 21, B, 3] = 63.0
m[10, 21, B, 10] = 41.0
m[12, B, B, 7] = 42.0
m[12, B, B, 9] = 53.0
m[12, B, B, 12] = 57.0
m[12, B, B, 13] = 41.0
m[12, B, B, 16] = 62.0
m[12, B, B, 19] = 58.0
m[12, B, B, 20] = 50.0
m[12, B, B, 22] = 34.0
m[12, B, B, 23] = 32.0
m[12, B, B, 24] = 66.0
m[13, 23, B, 7] = 42.0
m[13, 23, B, 9] = 53.0
m[13, 23, B, 13] = 41.0
m[13, 23, B, 20] = 50.0
m[13, 23, B, 22] = 34.0
m[13, 23, B, 24] = 66.0
m[16, 19, B, 7] = 42.0
m[16, 19, B, 9] = 53.0
m[16, 19, B, 13] = 41.0
m[16, 19, B, 16] = 62.0
m[16, 19, B, 20] = 50.0
m[16, 19, B, 22] = 34.0
m[16, 19, B, 23] = 32.0
m[16, 19, B, 24] = 66.0
m[19, 12, B, 7] = 42.0
m[19, 12, B, 9] = 53.0
m[19, 12, B, 13] = 41.0
m[19, 12, B, 16] = 62.0
m[19, 12, B, 19] = 58.0
m[19, 12, B, 20] = 50.0
m[19, 12, B, 22] = 34.0
m[19, 12, B, 23] = 32.0
m[19, 12, B, 24] = 66.0
m[20, 22, B, 7] = 42.0
m[20, 22, B, 20] = 50.0
m[21, 5, B, 3] = 63.0
m[21, 5, B, 10] = 41.0
m[21, 5, B, 21] = 49.0
m[22, 24, B, 7] = 42.0
m[22, 24, B, 20] = 50.0
m[22, 24, B, 22] = 34.0
m[23, 16, B, 7] = 42.0
m[23, 16, B, 9] = 53.0
m[23, 16, B, 13] = 41.0
