Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8065.dat
status= OPTIMAL
ID = 8065
Numero de clientes = 20
OF (custo) = 269.86
Best Objective = 269.86
Best Bound = 269.8599999999999
GAP = 0.0%
x[1, 20, B] = 1.0
x[2, 18, B] = 1.0
x[3, 10, B] = 1.0
x[5, 16, B] = 1.0
x[7, B, B] = 1.0
x[8, 11, B] = 1.0
x[9, 5, B] = 1.0
x[10, 17, B] = 1.0
x[11, 19, B] = 1.0
x[13, 2, B] = 1.0
x[16, 1, B] = 1.0
x[17, 9, B] = 1.0
x[18, 3, B] = 1.0
x[19, 7, B] = 1.0
x[20, 8, B] = 1.0
x[B, 13, B] = 1.0
l[1, 20, B, 7] = 44.0
l[1, 20, B, 11] = 40.0
l[1, 20, B, 20] = 44.0
l[2, 18, B, 1] = 23.0
l[2, 18, B, 7] = 44.0
l[2, 18, B, 11] = 40.0
l[2, 18, B, 20] = 44.0
l[3, 10, B, 1] = 23.0
l[3, 10, B, 7] = 44.0
l[3, 10, B, 11] = 40.0
l[3, 10, B, 20] = 44.0
l[5, 16, B, 1] = 23.0
l[5, 16, B, 7] = 44.0
l[5, 16, B, 11] = 40.0
l[5, 16, B, 20] = 44.0
l[8, 11, B, 7] = 44.0
l[8, 11, B, 11] = 40.0
l[9, 5, B, 1] = 23.0
l[9, 5, B, 7] = 44.0
l[9, 5, B, 11] = 40.0
l[9, 5, B, 20] = 44.0
l[10, 17, B, 1] = 23.0
l[10, 17, B, 7] = 44.0
l[10, 17, B, 11] = 40.0
l[10, 17, B, 20] = 44.0
l[11, 19, B, 7] = 44.0
l[13, 2, B, 1] = 23.0
l[13, 2, B, 2] = 21.0
l[13, 2, B, 7] = 44.0
l[13, 2, B, 11] = 40.0
l[13, 2, B, 20] = 44.0
l[16, 1, B, 1] = 23.0
l[16, 1, B, 7] = 44.0
l[16, 1, B, 11] = 40.0
l[16, 1, B, 20] = 44.0
l[17, 9, B, 1] = 23.0
l[17, 9, B, 7] = 44.0
l[17, 9, B, 11] = 40.0
l[17, 9, B, 20] = 44.0
l[18, 3, B, 1] = 23.0
l[18, 3, B, 7] = 44.0
l[18, 3, B, 11] = 40.0
l[18, 3, B, 20] = 44.0
l[19, 7, B, 7] = 44.0
l[20, 8, B, 7] = 44.0
l[20, 8, B, 11] = 40.0
l[B, 13, B, 1] = 23.0
l[B, 13, B, 2] = 21.0
l[B, 13, B, 7] = 44.0
l[B, 13, B, 11] = 40.0
l[B, 13, B, 13] = 28.0
l[B, 13, B, 20] = 44.0
m[1, 20, B, 1] = 30.0
m[1, 20, B, 2] = 40.0
m[1, 20, B, 13] = 25.0
m[2, 18, B, 2] = 40.0
m[2, 18, B, 13] = 25.0
m[3, 10, B, 2] = 40.0
m[3, 10, B, 13] = 25.0
m[5, 16, B, 2] = 40.0
m[5, 16, B, 13] = 25.0
m[7, B, B, 1] = 30.0
m[7, B, B, 2] = 40.0
m[7, B, B, 7] = 30.0
m[7, B, B, 11] = 25.0
m[7, B, B, 13] = 25.0
m[7, B, B, 20] = 26.0
m[8, 11, B, 1] = 30.0
m[8, 11, B, 2] = 40.0
m[8, 11, B, 13] = 25.0
m[8, 11, B, 20] = 26.0
m[9, 5, B, 2] = 40.0
m[9, 5, B, 13] = 25.0
m[10, 17, B, 2] = 40.0
m[10, 17, B, 13] = 25.0
m[11, 19, B, 1] = 30.0
m[11, 19, B, 2] = 40.0
m[11, 19, B, 11] = 25.0
m[11, 19, B, 13] = 25.0
m[11, 19, B, 20] = 26.0
m[13, 2, B, 13] = 25.0
m[16, 1, B, 2] = 40.0
m[16, 1, B, 13] = 25.0
m[17, 9, B, 2] = 40.0
m[17, 9, B, 13] = 25.0
m[18, 3, B, 2] = 40.0
m[18, 3, B, 13] = 25.0
m[19, 7, B, 1] = 30.0
m[19, 7, B, 2] = 40.0
m[19, 7, B, 11] = 25.0
m[19, 7, B, 13] = 25.0
m[19, 7, B, 20] = 26.0
m[20, 8, B, 1] = 30.0
m[20, 8, B, 2] = 40.0
m[20, 8, B, 13] = 25.0
m[20, 8, B, 20] = 26.0
n[1, 20, B, 8] = 36.0
n[1, 20, B, 19] = 39.0
n[3, 10, B, 8] = 36.0
n[3, 10, B, 16] = 15.0
n[3, 10, B, 19] = 39.0
n[5, 16, B, 8] = 36.0
n[5, 16, B, 16] = 24.0
n[5, 16, B, 19] = 39.0
n[8, 11, B, 19] = 39.0
n[9, 5, B, 5] = 33.0
n[9, 5, B, 8] = 36.0
n[9, 5, B, 16] = 24.0
n[9, 5, B, 19] = 39.0
n[10, 17, B, 8] = 36.0
n[10, 17, B, 16] = 15.0
n[10, 17, B, 17] = 26.0
n[10, 17, B, 19] = 39.0
n[11, 19, B, 19] = 39.0
n[16, 1, B, 8] = 36.0
n[16, 1, B, 19] = 39.0
n[17, 9, B, 8] = 36.0
n[17, 9, B, 16] = 15.0
n[17, 9, B, 19] = 39.0
n[18, 3, B, 8] = 36.0
n[18, 3, B, 16] = 15.0
n[20, 8, B, 8] = 36.0
n[20, 8, B, 19] = 39.0
Tempo de execução: 1.2895184 segundos
