Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8066.dat
status= OPTIMAL
ID = 8066
Numero de clientes = 25
OF (custo) = 310.85
Best Objective = 310.85
Best Bound = 310.84999999999997
GAP = 0.0%
x[1, 17, A] = 1.0
x[2, 14, A] = 1.0
x[4, 12, A] = 1.0
x[7, 11, A] = 1.0
x[8, 1, A] = 1.0
x[9, 2, A] = 1.0
x[11, 4, A] = 1.0
x[12, 20, A] = 1.0
x[13, 15, A] = 1.0
x[14, A, A] = 1.0
x[15, 7, A] = 1.0
x[16, 8, A] = 1.0
x[17, 9, A] = 1.0
x[20, 16, A] = 1.0
x[22, 13, A] = 1.0
x[A, 22, A] = 1.0
l[1, 17, A, 2] = 16.0
l[1, 17, A, 14] = 7.0
l[1, 17, A, 17] = 12.0
l[2, 14, A, 14] = 7.0
l[4, 12, A, 2] = 16.0
l[4, 12, A, 8] = 7.0
l[4, 12, A, 12] = 9.0
l[4, 12, A, 14] = 7.0
l[4, 12, A, 16] = 10.0
l[4, 12, A, 17] = 12.0
l[4, 12, A, 20] = 13.0
l[7, 11, A, 2] = 16.0
l[7, 11, A, 8] = 7.0
l[7, 11, A, 11] = 1.0
l[7, 11, A, 12] = 9.0
l[7, 11, A, 14] = 7.0
l[7, 11, A, 16] = 10.0
l[7, 11, A, 17] = 12.0
l[7, 11, A, 20] = 13.0
l[8, 1, A, 2] = 16.0
l[8, 1, A, 14] = 7.0
l[8, 1, A, 17] = 12.0
l[9, 2, A, 2] = 16.0
l[9, 2, A, 14] = 7.0
l[11, 4, A, 2] = 16.0
l[11, 4, A, 8] = 7.0
l[11, 4, A, 12] = 9.0
l[11, 4, A, 14] = 7.0
l[11, 4, A, 16] = 10.0
l[11, 4, A, 17] = 12.0
l[11, 4, A, 20] = 13.0
l[12, 20, A, 2] = 16.0
l[12, 20, A, 8] = 7.0
l[12, 20, A, 14] = 7.0
l[12, 20, A, 16] = 10.0
l[12, 20, A, 17] = 12.0
l[12, 20, A, 20] = 13.0
l[13, 15, A, 2] = 16.0
l[13, 15, A, 8] = 7.0
l[13, 15, A, 11] = 1.0
l[13, 15, A, 12] = 9.0
l[13, 15, A, 14] = 7.0
l[13, 15, A, 15] = 13.0
l[13, 15, A, 16] = 10.0
l[13, 15, A, 17] = 12.0
l[13, 15, A, 20] = 13.0
l[15, 7, A, 2] = 16.0
l[15, 7, A, 8] = 7.0
l[15, 7, A, 11] = 1.0
l[15, 7, A, 12] = 9.0
l[15, 7, A, 14] = 7.0
l[15, 7, A, 16] = 10.0
l[15, 7, A, 17] = 12.0
l[15, 7, A, 20] = 13.0
l[16, 8, A, 2] = 16.0
l[16, 8, A, 8] = 7.0
l[16, 8, A, 14] = 7.0
l[16, 8, A, 17] = 12.0
l[17, 9, A, 2] = 16.0
l[17, 9, A, 14] = 7.0
l[20, 16, A, 2] = 16.0
l[20, 16, A, 8] = 7.0
l[20, 16, A, 14] = 7.0
l[20, 16, A, 16] = 10.0
l[20, 16, A, 17] = 12.0
l[22, 13, A, 2] = 16.0
l[22, 13, A, 8] = 7.0
l[22, 13, A, 11] = 1.0
l[22, 13, A, 12] = 9.0
l[22, 13, A, 13] = 5.0
l[22, 13, A, 14] = 7.0
l[22, 13, A, 15] = 13.0
l[22, 13, A, 16] = 10.0
l[22, 13, A, 17] = 12.0
l[22, 13, A, 20] = 13.0
l[A, 22, A, 2] = 16.0
l[A, 22, A, 8] = 7.0
l[A, 22, A, 11] = 1.0
l[A, 22, A, 12] = 9.0
l[A, 22, A, 13] = 5.0
l[A, 22, A, 14] = 7.0
l[A, 22, A, 15] = 13.0
l[A, 22, A, 16] = 10.0
l[A, 22, A, 17] = 12.0
l[A, 22, A, 20] = 13.0
m[1, 17, A, 8] = 7.0
m[1, 17, A, 12] = 14.0
m[1, 17, A, 15] = 9.0
m[1, 17, A, 20] = 13.0
m[2, 14, A, 2] = 9.0
m[2, 14, A, 8] = 7.0
m[2, 14, A, 12] = 14.0
m[2, 14, A, 15] = 9.0
m[2, 14, A, 17] = 7.0
m[2, 14, A, 20] = 13.0
m[4, 12, A, 15] = 9.0
m[7, 11, A, 15] = 9.0
m[8, 1, A, 8] = 7.0
m[8, 1, A, 12] = 14.0
m[8, 1, A, 15] = 9.0
m[8, 1, A, 20] = 13.0
m[9, 2, A, 8] = 7.0
m[9, 2, A, 12] = 14.0
m[9, 2, A, 15] = 9.0
m[9, 2, A, 17] = 7.0
m[9, 2, A, 20] = 13.0
m[11, 4, A, 15] = 9.0
m[12, 20, A, 12] = 14.0
m[12, 20, A, 15] = 9.0
m[14, A, A, 2] = 9.0
m[14, A, A, 8] = 7.0
m[14, A, A, 12] = 14.0
m[14, A, A, 14] = 10.0
m[14, A, A, 15] = 9.0
m[14, A, A, 17] = 7.0
m[14, A, A, 20] = 13.0
m[15, 7, A, 15] = 9.0
m[16, 8, A, 12] = 14.0
m[16, 8, A, 15] = 9.0
m[16, 8, A, 20] = 13.0
m[17, 9, A, 8] = 7.0
m[17, 9, A, 12] = 14.0
m[17, 9, A, 15] = 9.0
m[17, 9, A, 17] = 7.0
m[17, 9, A, 20] = 13.0
m[20, 16, A, 12] = 14.0
m[20, 16, A, 15] = 9.0
m[20, 16, A, 20] = 13.0
n[1, 17, A, 9] = 19.0
n[4, 12, A, 16] = 5.0
n[7, 11, A, 11] = 7.0
n[12, 20, A, 16] = 5.0
n[17, 9, A, 9] = 19.0
n[20, 16, A, 16] = 5.0
n[22, 13, A, 13] = 6.0
Tempo de execução: 74.9907932 segundos
