Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8088.dat
status= TIME_LIMIT
ID = 8088
Numero de clientes = 20
OF (custo) = 363.28999999999996
Best Objective = 363.28999999999996
Best Bound = 300.7009837741817
GAP = 17.228389503101734%
O tempo limite foi atingido.
x[2, A, A] = 1.0
x[3, 2, A] = 1.0
x[4, 15, A] = 1.0
x[5, A, A] = 1.0
x[9, 18, A] = 1.0
x[10, 3, A] = 1.0
x[11, 4, A] = 1.0
x[12, 5, A] = 1.0
x[14, 19, A] = 1.0
x[15, 12, A] = 1.0
x[16, 10, A] = 1.0
x[18, 14, A] = 1.0
x[19, 11, A] = 1.0
x[20, 16, A] = 1.0
x[A, 9, A] = 1.0
x[A, 20, A] = 1.0
l[3, 2, A, 2] = 28.0
l[4, 15, A, 5] = 16.0
l[4, 15, A, 12] = 12.0
l[9, 18, A, 4] = 33.0
l[9, 18, A, 5] = 16.0
l[9, 18, A, 11] = 21.0
l[9, 18, A, 12] = 12.0
l[9, 18, A, 14] = 32.0
l[9, 18, A, 19] = 49.0
l[10, 3, A, 2] = 28.0
l[10, 3, A, 3] = 46.0
l[11, 4, A, 4] = 33.0
l[11, 4, A, 5] = 16.0
l[11, 4, A, 12] = 12.0
l[12, 5, A, 5] = 16.0
l[14, 19, A, 4] = 33.0
l[14, 19, A, 5] = 16.0
l[14, 19, A, 11] = 21.0
l[14, 19, A, 12] = 12.0
l[14, 19, A, 19] = 49.0
l[15, 12, A, 5] = 16.0
l[15, 12, A, 12] = 12.0
l[16, 10, A, 2] = 28.0
l[16, 10, A, 3] = 46.0
l[16, 10, A, 10] = 45.0
l[18, 14, A, 4] = 33.0
l[18, 14, A, 5] = 16.0
l[18, 14, A, 11] = 21.0
l[18, 14, A, 12] = 12.0
l[18, 14, A, 14] = 32.0
l[18, 14, A, 19] = 49.0
l[19, 11, A, 4] = 33.0
l[19, 11, A, 5] = 16.0
l[19, 11, A, 11] = 21.0
l[19, 11, A, 12] = 12.0
l[20, 16, A, 2] = 28.0
l[20, 16, A, 3] = 46.0
l[20, 16, A, 10] = 45.0
l[20, 16, A, 16] = 43.0
l[A, 9, A, 4] = 33.0
l[A, 9, A, 5] = 16.0
l[A, 9, A, 11] = 21.0
l[A, 9, A, 12] = 12.0
l[A, 9, A, 14] = 32.0
l[A, 9, A, 19] = 49.0
l[A, 20, A, 2] = 28.0
l[A, 20, A, 3] = 46.0
l[A, 20, A, 10] = 45.0
l[A, 20, A, 16] = 43.0
l[A, 20, A, 20] = 48.0
m[2, A, A, 2] = 38.0
m[2, A, A, 3] = 36.0
m[2, A, A, 10] = 43.0
m[2, A, A, 16] = 52.0
m[2, A, A, 20] = 32.0
m[3, 2, A, 3] = 36.0
m[3, 2, A, 10] = 43.0
m[3, 2, A, 16] = 52.0
m[3, 2, A, 20] = 32.0
m[4, 15, A, 14] = 42.0
m[4, 15, A, 19] = 38.0
m[5, A, A, 14] = 42.0
m[5, A, A, 19] = 38.0
m[10, 3, A, 10] = 43.0
m[10, 3, A, 16] = 52.0
m[10, 3, A, 20] = 32.0
m[11, 4, A, 14] = 42.0
m[11, 4, A, 19] = 38.0
m[12, 5, A, 14] = 42.0
m[12, 5, A, 19] = 38.0
m[14, 19, A, 14] = 42.0
m[15, 12, A, 14] = 42.0
m[15, 12, A, 19] = 38.0
m[16, 10, A, 16] = 52.0
m[16, 10, A, 20] = 32.0
m[19, 11, A, 14] = 42.0
m[19, 11, A, 19] = 38.0
m[20, 16, A, 20] = 32.0
n[4, 15, A, 5] = 23.0
n[4, 15, A, 12] = 20.0
n[4, 15, A, 15] = 30.0
n[9, 18, A, 5] = 19.0
n[9, 18, A, 11] = 19.0
n[9, 18, A, 15] = 28.0
n[11, 4, A, 4] = 12.0
n[11, 4, A, 5] = 23.0
n[11, 4, A, 12] = 20.0
n[11, 4, A, 15] = 30.0
n[12, 5, A, 5] = 23.0
n[14, 19, A, 4] = 12.0
n[14, 19, A, 5] = 23.0
n[14, 19, A, 11] = 19.0
n[14, 19, A, 12] = 20.0
n[14, 19, A, 15] = 30.0
n[15, 12, A, 5] = 23.0
n[15, 12, A, 12] = 20.0
n[18, 14, A, 4] = 12.0
n[18, 14, A, 5] = 23.0
n[18, 14, A, 11] = 19.0
n[18, 14, A, 12] = 20.0
n[18, 14, A, 15] = 30.0
n[19, 11, A, 4] = 12.0
n[19, 11, A, 5] = 23.0
n[19, 11, A, 11] = 19.0
n[19, 11, A, 12] = 20.0
n[19, 11, A, 15] = 30.0
Tempo de execução: 7200.7117522 segundos
