Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8089.dat
status= OPTIMAL
ID = 8089
Numero de clientes = 20
OF (custo) = 285.03000000000003
Best Objective = 285.03000000000003
Best Bound = 285.02999999999156
GAP = 0.0%
x[1, 12, A] = 1.0
x[4, 19, A] = 1.0
x[6, 18, A] = 1.0
x[7, 4, A] = 1.0
x[8, 1, A] = 1.0
x[9, 7, A] = 1.0
x[11, 8, A] = 1.0
x[12, A, A] = 1.0
x[14, 9, A] = 1.0
x[18, 14, A] = 1.0
x[19, 11, A] = 1.0
x[20, 6, A] = 1.0
x[A, 20, A] = 1.0
l[4, 19, A, 1] = 49.0
l[4, 19, A, 8] = 14.0
l[4, 19, A, 11] = 27.0
l[4, 19, A, 19] = 41.0
l[6, 18, A, 1] = 49.0
l[6, 18, A, 4] = 36.0
l[6, 18, A, 8] = 14.0
l[6, 18, A, 9] = 49.0
l[6, 18, A, 11] = 27.0
l[6, 18, A, 14] = 21.0
l[6, 18, A, 19] = 41.0
l[7, 4, A, 1] = 49.0
l[7, 4, A, 4] = 36.0
l[7, 4, A, 8] = 14.0
l[7, 4, A, 11] = 27.0
l[7, 4, A, 19] = 41.0
l[8, 1, A, 1] = 49.0
l[9, 7, A, 1] = 49.0
l[9, 7, A, 4] = 36.0
l[9, 7, A, 8] = 14.0
l[9, 7, A, 11] = 27.0
l[9, 7, A, 19] = 41.0
l[11, 8, A, 1] = 49.0
l[11, 8, A, 8] = 14.0
l[14, 9, A, 1] = 49.0
l[14, 9, A, 4] = 36.0
l[14, 9, A, 8] = 14.0
l[14, 9, A, 9] = 49.0
l[14, 9, A, 11] = 27.0
l[14, 9, A, 19] = 41.0
l[18, 14, A, 1] = 49.0
l[18, 14, A, 4] = 36.0
l[18, 14, A, 8] = 14.0
l[18, 14, A, 9] = 49.0
l[18, 14, A, 11] = 27.0
l[18, 14, A, 14] = 21.0
l[18, 14, A, 19] = 41.0
l[19, 11, A, 1] = 49.0
l[19, 11, A, 8] = 14.0
l[19, 11, A, 11] = 27.0
l[20, 6, A, 1] = 49.0
l[20, 6, A, 4] = 36.0
l[20, 6, A, 6] = 29.0
l[20, 6, A, 8] = 14.0
l[20, 6, A, 9] = 49.0
l[20, 6, A, 11] = 27.0
l[20, 6, A, 14] = 21.0
l[20, 6, A, 19] = 41.0
l[A, 20, A, 1] = 49.0
l[A, 20, A, 4] = 36.0
l[A, 20, A, 6] = 29.0
l[A, 20, A, 8] = 14.0
l[A, 20, A, 9] = 49.0
l[A, 20, A, 11] = 27.0
l[A, 20, A, 14] = 21.0
l[A, 20, A, 19] = 41.0
m[1, 12, A, 1] = 35.0
m[1, 12, A, 4] = 40.0
m[1, 12, A, 6] = 41.0
m[1, 12, A, 9] = 38.0
m[1, 12, A, 11] = 43.0
m[1, 12, A, 19] = 28.0
m[4, 19, A, 4] = 40.0
m[4, 19, A, 6] = 41.0
m[4, 19, A, 9] = 38.0
m[6, 18, A, 6] = 41.0
m[7, 4, A, 6] = 41.0
m[7, 4, A, 9] = 38.0
m[8, 1, A, 4] = 40.0
m[8, 1, A, 6] = 41.0
m[8, 1, A, 9] = 38.0
m[8, 1, A, 11] = 43.0
m[8, 1, A, 19] = 28.0
m[9, 7, A, 6] = 41.0
m[9, 7, A, 9] = 38.0
m[11, 8, A, 4] = 40.0
m[11, 8, A, 6] = 41.0
m[11, 8, A, 9] = 38.0
m[11, 8, A, 11] = 43.0
m[11, 8, A, 19] = 28.0
m[12, A, A, 1] = 35.0
m[12, A, A, 4] = 40.0
m[12, A, A, 6] = 41.0
m[12, A, A, 9] = 38.0
m[12, A, A, 11] = 43.0
m[12, A, A, 19] = 28.0
m[14, 9, A, 6] = 41.0
m[18, 14, A, 6] = 41.0
m[19, 11, A, 4] = 40.0
m[19, 11, A, 6] = 41.0
m[19, 11, A, 9] = 38.0
m[19, 11, A, 19] = 28.0
n[1, 12, A, 12] = 49.0
n[4, 19, A, 8] = 21.0
n[4, 19, A, 12] = 49.0
n[6, 18, A, 8] = 17.0
n[6, 18, A, 12] = 49.0
n[7, 4, A, 8] = 21.0
n[7, 4, A, 12] = 49.0
n[8, 1, A, 12] = 49.0
n[9, 7, A, 7] = 32.0
n[9, 7, A, 8] = 21.0
n[9, 7, A, 12] = 49.0
n[11, 8, A, 8] = 21.0
n[11, 8, A, 12] = 49.0
n[14, 9, A, 7] = 32.0
n[14, 9, A, 8] = 21.0
n[14, 9, A, 12] = 49.0
n[18, 14, A, 7] = 32.0
n[18, 14, A, 8] = 21.0
n[18, 14, A, 12] = 49.0
n[18, 14, A, 14] = 11.0
n[19, 11, A, 8] = 21.0
n[19, 11, A, 12] = 49.0
n[20, 6, A, 8] = 17.0
n[20, 6, A, 12] = 49.0
Tempo de execução: 2.7710338 segundos
