Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8090.dat
status= TIME_LIMIT
ID = 8090
Numero de clientes = 20
OF (custo) = 315.62
Best Objective = 315.62
Best Bound = 262.41999999999985
GAP = 16.855712565743666%
O tempo limite foi atingido.
x[1, A, A] = 1.0
x[3, 17, A] = 1.0
x[4, 14, A] = 1.0
x[5, A, A] = 1.0
x[8, 4, A] = 1.0
x[9, 5, A] = 1.0
x[12, 16, A] = 1.0
x[13, 9, A] = 1.0
x[14, 15, A] = 1.0
x[15, 3, A] = 1.0
x[16, 19, A] = 1.0
x[17, 13, A] = 1.0
x[19, 1, A] = 1.0
x[A, 8, A] = 1.0
x[A, 12, A] = 1.0
z[1, A, A] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[5, A, A] = 1.0
z[8, A, A] = 1.0
z[9, A, A] = 1.0
z[12, A, A] = 1.0
z[13, A, A] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, A] = 1.0
z[17, A, A] = 1.0
z[19, A, A] = 1.0
l[3, 17, A, 5] = 41.0
l[3, 17, A, 9] = 33.0
l[3, 17, A, 13] = 63.0
l[3, 17, A, 17] = 61.0
l[4, 14, A, 3] = 55.0
l[4, 14, A, 5] = 41.0
l[4, 14, A, 9] = 33.0
l[4, 14, A, 13] = 63.0
l[4, 14, A, 14] = 30.0
l[4, 14, A, 15] = 54.0
l[4, 14, A, 17] = 61.0
l[8, 4, A, 3] = 55.0
l[8, 4, A, 4] = 67.0
l[8, 4, A, 5] = 41.0
l[8, 4, A, 9] = 33.0
l[8, 4, A, 13] = 63.0
l[8, 4, A, 14] = 30.0
l[8, 4, A, 15] = 54.0
l[8, 4, A, 17] = 61.0
l[9, 5, A, 5] = 41.0
l[12, 16, A, 1] = 60.0
l[12, 16, A, 16] = 61.0
l[12, 16, A, 19] = 30.0
l[13, 9, A, 5] = 41.0
l[13, 9, A, 9] = 33.0
l[14, 15, A, 3] = 55.0
l[14, 15, A, 5] = 41.0
l[14, 15, A, 9] = 33.0
l[14, 15, A, 13] = 63.0
l[14, 15, A, 15] = 54.0
l[14, 15, A, 17] = 61.0
l[15, 3, A, 3] = 55.0
l[15, 3, A, 5] = 41.0
l[15, 3, A, 9] = 33.0
l[15, 3, A, 13] = 63.0
l[15, 3, A, 17] = 61.0
l[16, 19, A, 1] = 60.0
l[16, 19, A, 19] = 30.0
l[17, 13, A, 5] = 41.0
l[17, 13, A, 9] = 33.0
l[17, 13, A, 13] = 63.0
l[19, 1, A, 1] = 60.0
l[A, 8, A, 3] = 55.0
l[A, 8, A, 4] = 67.0
l[A, 8, A, 5] = 41.0
l[A, 8, A, 8] = 49.0
l[A, 8, A, 9] = 33.0
l[A, 8, A, 13] = 63.0
l[A, 8, A, 14] = 30.0
l[A, 8, A, 15] = 54.0
l[A, 8, A, 17] = 61.0
l[A, 12, A, 1] = 60.0
l[A, 12, A, 12] = 48.0
l[A, 12, A, 16] = 61.0
l[A, 12, A, 19] = 30.0
m[1, A, A, 1] = 36.0
m[1, A, A, 12] = 50.0
m[1, A, A, 16] = 47.0
m[1, A, A, 19] = 55.0
m[3, 17, A, 3] = 37.0
m[3, 17, A, 4] = 58.0
m[3, 17, A, 8] = 34.0
m[3, 17, A, 14] = 69.0
m[3, 17, A, 15] = 42.0
m[4, 14, A, 4] = 58.0
m[4, 14, A, 8] = 34.0
m[5, A, A, 3] = 37.0
m[5, A, A, 4] = 58.0
m[5, A, A, 5] = 76.0
m[5, A, A, 8] = 34.0
m[5, A, A, 9] = 61.0
m[5, A, A, 13] = 49.0
m[5, A, A, 14] = 69.0
m[5, A, A, 15] = 42.0
m[5, A, A, 17] = 38.0
m[8, 4, A, 8] = 34.0
m[9, 5, A, 3] = 37.0
m[9, 5, A, 4] = 58.0
m[9, 5, A, 8] = 34.0
m[9, 5, A, 9] = 61.0
m[9, 5, A, 13] = 49.0
m[9, 5, A, 14] = 69.0
m[9, 5, A, 15] = 42.0
m[9, 5, A, 17] = 38.0
m[12, 16, A, 12] = 50.0
m[13, 9, A, 3] = 37.0
m[13, 9, A, 4] = 58.0
m[13, 9, A, 8] = 34.0
m[13, 9, A, 13] = 49.0
m[13, 9, A, 14] = 69.0
m[13, 9, A, 15] = 42.0
m[13, 9, A, 17] = 38.0
m[14, 15, A, 4] = 58.0
m[14, 15, A, 8] = 34.0
m[14, 15, A, 14] = 69.0
m[15, 3, A, 4] = 58.0
m[15, 3, A, 8] = 34.0
m[15, 3, A, 14] = 69.0
m[15, 3, A, 15] = 42.0
m[16, 19, A, 12] = 50.0
m[16, 19, A, 16] = 47.0
m[17, 13, A, 3] = 37.0
m[17, 13, A, 4] = 58.0
m[17, 13, A, 8] = 34.0
m[17, 13, A, 14] = 69.0
m[17, 13, A, 15] = 42.0
m[17, 13, A, 17] = 38.0
m[19, 1, A, 12] = 50.0
m[19, 1, A, 16] = 47.0
m[19, 1, A, 19] = 55.0
Tempo de execução: 7202.5828107 segundos
