Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_8L.dat
status= OPTIMAL
ID = 8
Numero de clientes = 30
OF (custo) = 166.20999999999998
Best Objective = 166.20999999999998
Best Bound = 166.20999999999998
GAP = 0.0%
x[2, 24, B] = 1.0
x[3, B, B] = 1.0
x[4, 13, B] = 1.0
x[7, 20, B] = 1.0
x[8, 3, B] = 1.0
x[9, 4, B] = 1.0
x[11, 8, B] = 1.0
x[12, 7, B] = 1.0
x[13, 14, B] = 1.0
x[14, 30, B] = 1.0
x[16, 12, B] = 1.0
x[19, 2, B] = 1.0
x[20, 11, B] = 1.0
x[23, 19, B] = 1.0
x[24, 25, B] = 1.0
x[25, 27, B] = 1.0
x[27, 16, B] = 1.0
x[28, 23, B] = 1.0
x[30, 28, B] = 1.0
x[B, 9, B] = 1.0
l[2, 24, B, 3] = 9.0
l[2, 24, B, 8] = 9.0
l[2, 24, B, 11] = 12.0
l[2, 24, B, 12] = 12.0
l[2, 24, B, 16] = 19.0
l[2, 24, B, 25] = 6.0
l[2, 24, B, 27] = 8.0
l[4, 13, B, 2] = 7.0
l[4, 13, B, 3] = 9.0
l[4, 13, B, 8] = 9.0
l[4, 13, B, 11] = 12.0
l[4, 13, B, 12] = 12.0
l[4, 13, B, 14] = 10.0
l[4, 13, B, 16] = 19.0
l[4, 13, B, 19] = 8.0
l[4, 13, B, 25] = 6.0
l[4, 13, B, 27] = 8.0
l[4, 13, B, 30] = 9.0
l[7, 20, B, 3] = 9.0
l[7, 20, B, 8] = 9.0
l[7, 20, B, 11] = 12.0
l[8, 3, B, 3] = 9.0
l[9, 4, B, 2] = 7.0
l[9, 4, B, 3] = 9.0
l[9, 4, B, 8] = 9.0
l[9, 4, B, 11] = 12.0
l[9, 4, B, 12] = 12.0
l[9, 4, B, 14] = 10.0
l[9, 4, B, 16] = 19.0
l[9, 4, B, 19] = 8.0
l[9, 4, B, 25] = 6.0
l[9, 4, B, 27] = 8.0
l[9, 4, B, 30] = 9.0
l[11, 8, B, 3] = 9.0
l[11, 8, B, 8] = 9.0
l[12, 7, B, 3] = 9.0
l[12, 7, B, 8] = 9.0
l[12, 7, B, 11] = 12.0
l[13, 14, B, 2] = 7.0
l[13, 14, B, 3] = 9.0
l[13, 14, B, 8] = 9.0
l[13, 14, B, 11] = 12.0
l[13, 14, B, 12] = 12.0
l[13, 14, B, 14] = 10.0
l[13, 14, B, 16] = 19.0
l[13, 14, B, 19] = 8.0
l[13, 14, B, 25] = 6.0
l[13, 14, B, 27] = 8.0
l[13, 14, B, 30] = 9.0
l[14, 30, B, 2] = 7.0
l[14, 30, B, 3] = 9.0
l[14, 30, B, 8] = 9.0
l[14, 30, B, 11] = 12.0
l[14, 30, B, 12] = 12.0
l[14, 30, B, 16] = 19.0
l[14, 30, B, 19] = 8.0
l[14, 30, B, 25] = 6.0
l[14, 30, B, 27] = 8.0
l[14, 30, B, 30] = 9.0
l[16, 12, B, 3] = 9.0
l[16, 12, B, 8] = 9.0
l[16, 12, B, 11] = 12.0
l[16, 12, B, 12] = 12.0
l[19, 2, B, 2] = 7.0
l[19, 2, B, 3] = 9.0
l[19, 2, B, 8] = 9.0
l[19, 2, B, 11] = 12.0
l[19, 2, B, 12] = 12.0
l[19, 2, B, 16] = 19.0
l[19, 2, B, 25] = 6.0
l[19, 2, B, 27] = 8.0
l[20, 11, B, 3] = 9.0
l[20, 11, B, 8] = 9.0
l[20, 11, B, 11] = 12.0
l[23, 19, B, 2] = 7.0
l[23, 19, B, 3] = 9.0
l[23, 19, B, 8] = 9.0
l[23, 19, B, 11] = 12.0
l[23, 19, B, 12] = 12.0
l[23, 19, B, 16] = 19.0
l[23, 19, B, 19] = 8.0
l[23, 19, B, 25] = 6.0
l[23, 19, B, 27] = 8.0
l[24, 25, B, 3] = 9.0
l[24, 25, B, 8] = 9.0
l[24, 25, B, 11] = 12.0
l[24, 25, B, 12] = 12.0
l[24, 25, B, 16] = 19.0
l[24, 25, B, 25] = 6.0
l[24, 25, B, 27] = 8.0
l[25, 27, B, 3] = 9.0
l[25, 27, B, 8] = 9.0
l[25, 27, B, 11] = 12.0
l[25, 27, B, 12] = 12.0
l[25, 27, B, 16] = 19.0
l[25, 27, B, 27] = 8.0
l[27, 16, B, 3] = 9.0
l[27, 16, B, 8] = 9.0
l[27, 16, B, 11] = 12.0
l[27, 16, B, 12] = 12.0
l[27, 16, B, 16] = 19.0
l[28, 23, B, 2] = 7.0
l[28, 23, B, 3] = 9.0
l[28, 23, B, 8] = 9.0
l[28, 23, B, 11] = 12.0
l[28, 23, B, 12] = 12.0
l[28, 23, B, 16] = 19.0
l[28, 23, B, 19] = 8.0
l[28, 23, B, 25] = 6.0
l[28, 23, B, 27] = 8.0
l[30, 28, B, 2] = 7.0
l[30, 28, B, 3] = 9.0
l[30, 28, B, 8] = 9.0
l[30, 28, B, 11] = 12.0
l[30, 28, B, 12] = 12.0
l[30, 28, B, 16] = 19.0
l[30, 28, B, 19] = 8.0
l[30, 28, B, 25] = 6.0
l[30, 28, B, 27] = 8.0
l[B, 9, B, 2] = 7.0
l[B, 9, B, 3] = 9.0
l[B, 9, B, 8] = 9.0
l[B, 9, B, 9] = 16.0
l[B, 9, B, 11] = 12.0
l[B, 9, B, 12] = 12.0
l[B, 9, B, 14] = 10.0
l[B, 9, B, 16] = 19.0
l[B, 9, B, 19] = 8.0
l[B, 9, B, 25] = 6.0
l[B, 9, B, 27] = 8.0
l[B, 9, B, 30] = 9.0
m[2, 24, B, 2] = 13.0
m[2, 24, B, 9] = 19.0
m[2, 24, B, 14] = 17.0
m[2, 24, B, 19] = 5.0
m[2, 24, B, 30] = 12.0
m[3, B, B, 2] = 13.0
m[3, B, B, 8] = 2.0
m[3, B, B, 9] = 19.0
m[3, B, B, 11] = 12.0
m[3, B, B, 14] = 17.0
m[3, B, B, 16] = 3.0
m[3, B, B, 19] = 5.0
m[3, B, B, 25] = 17.0
m[3, B, B, 27] = 13.0
m[3, B, B, 30] = 12.0
m[4, 13, B, 9] = 19.0
m[7, 20, B, 2] = 13.0
m[7, 20, B, 9] = 19.0
m[7, 20, B, 14] = 17.0
m[7, 20, B, 16] = 3.0
m[7, 20, B, 19] = 5.0
m[7, 20, B, 25] = 17.0
m[7, 20, B, 27] = 13.0
m[7, 20, B, 30] = 12.0
m[8, 3, B, 2] = 13.0
m[8, 3, B, 8] = 2.0
m[8, 3, B, 9] = 19.0
m[8, 3, B, 11] = 12.0
m[8, 3, B, 14] = 17.0
m[8, 3, B, 16] = 3.0
m[8, 3, B, 19] = 5.0
m[8, 3, B, 25] = 17.0
m[8, 3, B, 27] = 13.0
m[8, 3, B, 30] = 12.0
m[9, 4, B, 9] = 19.0
m[11, 8, B, 2] = 13.0
m[11, 8, B, 9] = 19.0
m[11, 8, B, 11] = 12.0
m[11, 8, B, 14] = 17.0
m[11, 8, B, 16] = 3.0
m[11, 8, B, 19] = 5.0
m[11, 8, B, 25] = 17.0
m[11, 8, B, 27] = 13.0
m[11, 8, B, 30] = 12.0
m[12, 7, B, 2] = 13.0
m[12, 7, B, 9] = 19.0
m[12, 7, B, 14] = 17.0
m[12, 7, B, 16] = 3.0
m[12, 7, B, 19] = 5.0
m[12, 7, B, 25] = 17.0
m[12, 7, B, 27] = 13.0
m[12, 7, B, 30] = 12.0
m[13, 14, B, 9] = 19.0
m[14, 30, B, 9] = 19.0
m[14, 30, B, 14] = 17.0
m[16, 12, B, 2] = 13.0
m[16, 12, B, 9] = 19.0
m[16, 12, B, 14] = 17.0
m[16, 12, B, 16] = 3.0
m[16, 12, B, 19] = 5.0
m[16, 12, B, 25] = 17.0
m[16, 12, B, 27] = 13.0
m[16, 12, B, 30] = 12.0
m[19, 2, B, 9] = 19.0
m[19, 2, B, 14] = 17.0
m[19, 2, B, 19] = 5.0
m[19, 2, B, 30] = 12.0
m[20, 11, B, 2] = 13.0
m[20, 11, B, 9] = 19.0
m[20, 11, B, 14] = 17.0
m[20, 11, B, 16] = 3.0
m[20, 11, B, 19] = 5.0
m[20, 11, B, 25] = 17.0
m[20, 11, B, 27] = 13.0
m[20, 11, B, 30] = 12.0
m[23, 19, B, 9] = 19.0
m[23, 19, B, 14] = 17.0
m[23, 19, B, 30] = 12.0
m[24, 25, B, 2] = 13.0
m[24, 25, B, 9] = 19.0
m[24, 25, B, 14] = 17.0
m[24, 25, B, 19] = 5.0
m[24, 25, B, 30] = 12.0
m[25, 27, B, 2] = 13.0
m[25, 27, B, 9] = 19.0
m[25, 27, B, 14] = 17.0
m[25, 27, B, 19] = 5.0
m[25, 27, B, 25] = 17.0
m[25, 27, B, 30] = 12.0
m[27, 16, B, 2] = 13.0
m[27, 16, B, 9] = 19.0
m[27, 16, B, 14] = 17.0
m[27, 16, B, 19] = 5.0
m[27, 16, B, 25] = 17.0
m[27, 16, B, 27] = 13.0
m[27, 16, B, 30] = 12.0
m[28, 23, B, 9] = 19.0
m[28, 23, B, 14] = 17.0
m[28, 23, B, 30] = 12.0
m[30, 28, B, 9] = 19.0
m[30, 28, B, 14] = 17.0
m[30, 28, B, 30] = 12.0
n[2, 24, B, 3] = 4.0
n[2, 24, B, 7] = 5.0
n[2, 24, B, 12] = 7.0
n[2, 24, B, 20] = 9.0
n[2, 24, B, 24] = 3.0
n[4, 13, B, 12] = 7.0
n[4, 13, B, 20] = 1.0
n[7, 20, B, 3] = 4.0
n[7, 20, B, 20] = 9.0
n[8, 3, B, 3] = 4.0
n[11, 8, B, 3] = 4.0
n[12, 7, B, 3] = 4.0
n[12, 7, B, 7] = 5.0
n[12, 7, B, 20] = 9.0
n[13, 14, B, 7] = 5.0
n[13, 14, B, 12] = 7.0
n[13, 14, B, 20] = 5.0
n[13, 14, B, 23] = 29.0
n[14, 30, B, 7] = 5.0
n[14, 30, B, 12] = 7.0
n[14, 30, B, 20] = 5.0
n[14, 30, B, 23] = 29.0
n[16, 12, B, 3] = 4.0
n[16, 12, B, 7] = 5.0
n[16, 12, B, 12] = 7.0
n[16, 12, B, 20] = 9.0
n[19, 2, B, 3] = 4.0
n[19, 2, B, 7] = 5.0
n[19, 2, B, 12] = 7.0
n[19, 2, B, 20] = 9.0
n[19, 2, B, 24] = 3.0
n[20, 11, B, 3] = 4.0
n[23, 19, B, 3] = 4.0
n[23, 19, B, 7] = 5.0
n[23, 19, B, 12] = 7.0
n[23, 19, B, 20] = 9.0
n[23, 19, B, 24] = 3.0
n[24, 25, B, 3] = 4.0
n[24, 25, B, 7] = 5.0
n[24, 25, B, 12] = 7.0
n[24, 25, B, 20] = 9.0
n[25, 27, B, 3] = 4.0
n[25, 27, B, 7] = 5.0
n[25, 27, B, 12] = 7.0
n[25, 27, B, 20] = 9.0
n[27, 16, B, 3] = 4.0
n[27, 16, B, 7] = 5.0
n[27, 16, B, 12] = 7.0
n[27, 16, B, 20] = 9.0
n[28, 23, B, 3] = 4.0
n[28, 23, B, 7] = 5.0
n[28, 23, B, 12] = 7.0
n[28, 23, B, 20] = 9.0
n[28, 23, B, 23] = 29.0
n[28, 23, B, 24] = 3.0
n[30, 28, B, 7] = 5.0
n[30, 28, B, 12] = 7.0
n[30, 28, B, 20] = 5.0
n[30, 28, B, 23] = 29.0
Tempo de execução: 24.4860269 segundos
